timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.117,3.0000,-0.0389,0,0.0,true,1,19.5226,Free Play,0,0.3500,,Off,0.0000
0.230,2.9931,-0.0833,0,0.0,true,1,19.5156,Free Play,0,0.3500,,Off,0.0000
0.334,2.9822,-0.1281,0,0.0,true,1,19.5038,Free Play,0,0.3500,,Off,0.0000
0.450,2.9640,-0.1854,0,0.0,true,1,19.4829,Free Play,0,0.3500,,Off,0.0000
0.551,2.9426,-0.2434,0,0.0,true,1,19.4559,Free Play,0,0.3500,,Off,0.0000
0.651,2.9148,-0.3122,0,0.0,true,1,19.4175,Free Play,0,0.3500,,Off,0.0000
0.767,2.8730,-0.4096,0,0.0,true,1,19.3521,Free Play,0,0.3500,,Off,0.0000
0.834,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
0.867,2.9767,2.4757,0,0.0,true,1,22.5515,Free Play,0,0.3500,,Off,0.0000
0.984,3.2625,2.4427,0,0.0,true,1,22.5316,Free Play,0,0.3500,,Off,0.0000
1.117,3.5194,2.5506,0,0.0,false,1,22.1809,Free Play,0,0.3500,,Off,0.0000
1.218,3.7857,2.7732,0,0.0,false,1,21.5001,Free Play,0,0.3500,,Off,0.0000
1.334,4.1308,3.1640,0,0.0,false,1,20.2043,Free Play,0,0.3500,,Off,0.0000
1.451,4.5277,3.6607,0,0.0,false,1,18.3115,Free Play,0,0.3500,,Off,0.0000
