timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.134,3.1931,-0.6368,0,0.0,true,1,19.8097,Jiggle,0,0.3500,,Competition,0.0000
0.244,3.1448,-0.3606,0,0.0,true,1,19.6850,Jiggle,0,0.3500,,Competition,0.0000
0.350,3.0846,-0.4848,0,0.0,true,1,19.7216,Jiggle,0,0.3500,,Competition,0.0000
0.467,3.0846,-0.0104,0,0.0,true,1,19.6041,Jiggle,0,0.3500,,Competition,0.0000
0.567,3.0866,-0.1201,0,0.0,true,1,19.6124,Jiggle,0,0.3500,,Competition,0.0000
0.684,3.0689,-0.2710,0,0.0,true,1,19.6308,Jiggle,0,0.3500,,Competition,0.0000
0.784,3.0879,0.5888,0,0.0,true,1,19.7792,Jiggle,0,0.3500,,Competition,0.0000
0.884,3.1801,0.9678,0,0.0,true,1,20.0811,Jiggle,0,0.3500,,Competition,0.0000
0.968,0.0,0.0,-1,3.00,false,1,,Jiggle,0,0.3500,0.000,,0.0000
0.984,3.4020,4.3737,0,0.0,true,1,28.8537,Jiggle,0,0.3500,,Competition,0.0000
1.084,3.8689,4.8387,0,0.0,false,1,28.8447,Jiggle,0,0.3500,,Competition,0.0000
1.221,4.3842,5.1962,0,0.0,false,1,26.4726,Jiggle,0,0.3500,,Competition,0.0000
