timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.117,3.0000,-0.0391,0,0.0,true,1,19.5225,Free Play,0,0.3500,,Off,0.0000
0.217,2.9941,-0.0785,0,0.0,true,1,19.5166,Free Play,0,0.3500,,Off,0.0000
0.333,2.9821,-0.1284,0,0.0,true,1,19.5037,Free Play,0,0.3500,,Off,0.0000
0.450,2.9639,-0.1858,0,0.0,true,1,19.4827,Free Play,0,0.3500,,Off,0.0000
0.550,2.9424,-0.2437,0,0.0,true,1,19.4558,Free Play,0,0.3500,,Off,0.0000
0.651,2.9146,-0.3125,0,0.0,true,1,19.4173,Free Play,0,0.3500,,Off,0.0000
0.767,2.8727,-0.4101,0,0.0,true,1,19.3517,Free Play,0,0.3500,,Off,0.0000
0.884,2.8181,-0.5323,0,0.0,true,1,19.2527,Free Play,0,0.3500,,Off,0.0000
1.000,2.7476,-0.6852,0,0.0,false,1,19.1033,Free Play,0,0.3500,,Off,0.0000
1.100,2.6710,-0.8480,0,0.0,false,1,18.9134,Free Play,0,0.3500,,Off,0.0000
1.200,2.5765,-1.0452,0,0.0,false,1,18.6414,Free Play,0,0.3500,,Off,0.0000
1.317,2.4386,-1.3262,0,0.0,false,1,18.1736,Free Play,0,0.3500,,Off,0.0000
1.433,2.2654,-1.6669,0,0.0,false,1,17.4785,Free Play,0,0.3500,,Off,0.0000
1.534,2.0811,-2.0126,0,0.0,false,1,16.6266,Free Play,0,0.3500,,Off,0.0000
1.650,1.8203,-2.4665,0,0.0,false,1,15.2742,Free Play,0,0.3500,,Off,0.0000
