timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.834,0.0,0.0,-1,2.02,false,1,,Golden,0,0.3500,0.000,,0.0000
1.059,3.1826,1.4089,0,0.0,true,1,20.6042,Golden,0,0.3500,,Off,0.0000
1.162,3.3308,1.4708,0,0.0,true,1,20.5266,Golden,0,0.3500,,Off,0.0000
1.226,0.0,0.0,1,1.88,false,1,,Golden,0,0.3500,0.000,,0.0000
1.268,3.3993,-0.2619,0,0.0,true,1,19.3304,Golden,0,0.3500,,Off,0.0000
1.368,3.3811,-0.1043,0,0.0,true,1,19.3455,Golden,0,0.3500,,Off,0.0000
1.468,3.3781,0.0452,0,0.0,true,1,19.3479,Golden,0,0.3500,,Off,0.0000
1.575,3.3915,0.2051,0,0.0,true,2,19.3362,Golden,0,0.3500,,Off,0.0000
1.651,0.0,0.0,1,1.81,false,2,,Golden,0,0.3500,0.000,,0.0000
1.676,3.3597,-1.4386,0,0.0,true,2,20.4224,Golden,0,0.3500,,Off,0.0000
1.785,3.2113,-1.2972,0,0.0,true,2,20.4375,Golden,0,0.3500,,Off,0.0000
1.885,3.0850,-1.2375,0,0.0,true,2,20.3700,Golden,0,0.3500,,Off,0.0000
1.992,2.9522,-1.2431,0,0.0,true,2,20.2173,Golden,0,0.3500,,Off,0.0000
2.092,2.8248,-1.3113,0,0.0,true,2,19.9917,Golden,0,0.3500,,Off,0.0000
2.202,2.6743,-1.4552,0,0.0,false,2,19.6269,Golden,0,0.3500,,Off,0.0000
2.309,2.5075,-1.6680,0,0.0,false,2,19.1042,Golden,0,0.3500,,Off,0.0000
2.409,2.3281,-1.9315,0,0.0,false,2,18.4141,Golden,0,0.3500,,Off,0.0000
2.518,2.0984,-2.2880,0,0.0,false,2,17.3665,Golden,0,0.3500,,Off,0.0000
2.618,1.8508,-2.6683,0,0.0,false,2,16.0808,Golden,0,0.3500,,Off,0.0000
