timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.116,3.2864,0.1022,0,0.0,true,1,19.5226,Free Play,0,0.3500,,Off,0.0000
0.216,3.3018,0.2062,0,0.0,true,1,19.5157,Free Play,0,0.3500,,Off,0.0000
0.316,3.3279,0.3182,0,0.0,true,1,19.5009,Free Play,0,0.3500,,Off,0.0000
0.416,3.3659,0.4437,0,0.0,true,1,19.4727,Free Play,0,0.3500,,Off,0.0000
0.533,3.4273,0.6143,0,0.0,true,1,19.4111,Free Play,0,0.3500,,Off,0.0000
0.633,3.4972,0.7889,0,0.0,false,1,19.3174,Free Play,0,0.3500,,Off,0.0000
0.733,3.5862,0.9968,0,0.0,false,1,19.1630,Free Play,0,0.3500,,Off,0.0000
0.834,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.201,,0.0000
0.839,3.6382,-1.7290,0,0.0,false,1,19.9296,Free Play,0,0.3500,,Off,0.0000
0.950,3.4628,-1.4390,0,0.0,true,1,20.1536,Free Play,0,0.3500,,Off,0.0000
1.067,3.3081,-1.2318,0,0.0,true,1,20.2431,Free Play,0,0.3500,,Off,0.0000
1.183,3.1726,-1.1115,0,0.0,true,1,20.2331,Free Play,0,0.3500,,Off,0.0000
1.283,3.0638,-1.0702,0,0.0,true,1,20.1630,Free Play,0,0.3500,,Off,0.0000
1.383,2.9562,-1.0830,0,0.0,true,1,20.0384,Free Play,0,0.3500,,Off,0.0000
1.500,2.8261,-1.1643,0,0.0,true,1,19.8137,Free Play,0,0.3500,,Off,0.0000
1.517,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.616,3.0317,1.7089,0,0.0,true,1,21.0211,Free Play,0,0.3500,,Off,0.0000
1.717,3.2016,1.6940,0,0.0,true,1,21.0372,Free Play,0,0.3500,,Off,0.0000
1.833,3.4026,1.7827,0,0.0,true,1,20.8768,Free Play,0,0.3500,,Off,0.0000
1.933,3.5886,1.9497,0,0.0,false,1,20.5568,Free Play,0,0.3500,,Off,0.0000
2.033,3.7957,2.2008,0,0.0,false,1,20.0169,Free Play,0,0.3500,,Off,0.0000
