timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.883,0.0,0.0,-1,1.79,false,1,,Jiggle,0,0.3500,0.000,,0.0000
1.091,0.0,0.0,-1,1.79,false,1,,Jiggle,0,0.3500,0.000,,0.0000
1.291,0.0,0.0,-1,1.79,false,1,,Jiggle,0,0.3500,0.000,,0.0000
1.674,0.0,0.0,1,1.79,false,1,,Jiggle,0,0.3500,0.000,,0.0000
1.824,0.0,0.0,-1,1.79,false,1,,Jiggle,0,0.3500,0.000,,0.0000
2.066,0.0,0.0,-1,1.79,false,1,,Jiggle,0,0.3500,0.000,,0.0000
2.510,0.0,0.0,-1,1.79,false,1,,Jiggle,0,0.3500,0.000,,0.0000
2.583,0.0,0.0,1,1.79,false,1,,Jiggle,0,0.3500,0.000,,0.0000
2.758,0.0,0.0,1,1.79,false,1,,Jiggle,0,0.3500,0.000,,0.0000
2.958,0.0,0.0,1,1.79,false,1,,Jiggle,0,0.3500,0.000,,0.0000
3.116,0.0,0.0,1,1.79,false,1,,Jiggle,0,0.3500,0.000,,0.0000
3.549,0.0,0.0,1,1.79,false,1,,Jiggle,0,0.3500,0.000,,0.0000
3.749,0.0,0.0,1,1.79,false,1,,Jiggle,0,0.3500,0.000,,0.0000
4.308,0.0,0.0,-1,1.79,false,1,,Jiggle,0,0.3500,0.000,,0.0000
4.308,3.4243,1.8068,0,0.0,true,1,20.8629,Jiggle,0,0.3500,,Off,0.0000
4.416,3.6984,3.0819,0,0.0,false,1,22.8870,Jiggle,0,0.3500,,Off,0.0000
4.524,0.0,0.0,1,1.79,false,1,,Jiggle,0,0.3500,0.108,,0.0000
4.525,4.0326,1.5608,0,0.0,false,1,17.1946,Jiggle,0,0.3500,,Off,0.0000
4.632,4.2181,2.0719,0,0.0,false,1,16.6103,Jiggle,0,0.3500,,Off,0.0000
4.708,0.0,0.0,1,1.79,false,1,,Jiggle,0,0.3500,0.292,,0.0000
4.732,4.3694,0.5892,0,0.0,false,1,13.2828,Jiggle,0,0.3500,,Off,0.0000
4.840,4.4576,1.1025,0,0.0,false,1,12.8904,Jiggle,0,0.3500,,Off,0.0000
4.867,0.0,0.0,1,1.79,false,1,,Jiggle,0,0.3500,0.451,,0.0000
4.949,4.4505,-0.0990,0,0.0,false,1,12.3548,Jiggle,0,0.3500,,Off,0.0000
5.054,4.4618,0.2356,0,0.0,false,1,12.2708,Jiggle,0,0.3500,,Off,0.0000
5.149,0.0,0.0,1,1.79,false,1,,Jiggle,0,0.3500,0.733,,0.0000
5.157,4.4859,-0.9419,0,0.0,false,1,12.4561,Jiggle,0,0.3500,,Off,0.0000
5.266,4.4241,-0.3045,0,0.0,false,1,12.6453,Jiggle,0,0.3500,,Off,0.0000
5.358,0.0,0.0,1,1.79,false,1,,Jiggle,0,0.3500,0.942,,0.0000
5.373,4.3778,-1.6601,0,0.0,false,1,14.4090,Jiggle,0,0.3500,,Off,0.0000
5.482,4.2489,-0.8051,0,0.0,false,1,14.5196,Jiggle,0,0.3500,,Off,0.0000
5.583,0.0,0.0,1,1.79,false,1,,Jiggle,0,0.3500,1.167,,0.0000
5.584,4.1782,-2.0086,0,0.0,false,1,16.8215,Jiggle,0,0.3500,,Off,0.0000
5.690,3.9785,-1.5331,0,0.0,false,1,17.5556,Jiggle,0,0.3500,,Off,0.0000
5.799,3.8573,-0.6351,0,0.0,false,1,17.4145,Jiggle,0,0.3500,,Off,0.0000
5.833,0.0,0.0,1,1.79,false,1,,Jiggle,0,0.3500,1.417,,0.0000
5.906,3.6797,-1.7728,0,0.0,false,1,19.8052,Jiggle,0,0.3500,,Off,0.0000
6.006,3.4877,-1.7928,0,0.0,true,1,20.6451,Jiggle,0,0.3500,,Off,0.0000
6.106,3.2993,-1.5274,0,0.0,true,1,20.6648,Jiggle,0,0.3500,,Off,0.0000
6.221,3.1025,-1.4662,0,0.0,true,1,20.6874,Jiggle,0,0.3500,,Off,0.0000
6.323,2.9686,-1.6849,0,0.0,true,1,20.8929,Jiggle,0,0.3500,,Off,0.0000
6.341,0.0,0.0,-1,1.79,false,1,,Jiggle,0,0.3500,0.000,,0.0000
6.423,2.9433,-0.4717,0,0.0,true,1,19.5390,Jiggle,0,0.3500,,Off,0.0000
6.532,2.9277,0.0803,0,0.0,true,1,19.3996,Jiggle,0,0.3500,,Off,0.0000
6.607,0.0,0.0,-1,1.79,false,1,,Jiggle,0,0.3500,0.000,,0.0000
6.640,3.0040,2.0651,0,0.0,true,1,21.6596,Jiggle,0,0.3500,,Off,0.0000
6.740,3.2025,1.8495,0,0.0,true,1,21.3121,Jiggle,0,0.3500,,Off,0.0000
6.849,3.4177,1.8365,0,0.0,true,1,20.9346,Jiggle,0,0.3500,,Off,0.0000
6.949,3.6294,2.2458,0,0.0,false,1,20.9975,Jiggle,0,0.3500,,Off,0.0000
6.983,0.0,0.0,1,1.79,false,1,,Jiggle,0,0.3500,0.034,,0.0000
