timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.784,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.143,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.517,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.151,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.759,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.259,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.826,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.634,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.859,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.301,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.292,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.876,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.326,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.775,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.517,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
12.059,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
12.742,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
14.317,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
14.767,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
