timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.116,2.9998,-0.0421,0,0.0,true,1,20.3121,Free Play,0,0.3500,,Off,0.0000
0.217,2.9935,-0.0845,0,0.0,true,1,20.3060,Free Play,0,0.3500,,Off,0.0000
0.317,2.9828,-0.1296,0,0.0,true,1,20.2952,Free Play,0,0.3500,,Off,0.0000
0.424,2.9660,-0.1837,0,0.0,true,1,20.2770,Free Play,0,0.3500,,Off,0.0000
0.533,2.9426,-0.2471,0,0.0,true,1,20.2491,Free Play,0,0.3500,,Off,0.0000
0.634,2.9145,-0.3157,0,0.0,true,1,20.2118,Free Play,0,0.3500,,Off,0.0000
0.734,2.8790,-0.3970,0,0.0,true,1,20.1590,Free Play,0,0.3500,,Off,0.0000
0.792,0.0,0.0,-1,0.98,false,1,,Free Play,0,0.3500,0.000,,0.0000
0.834,2.8832,0.4759,0,0.0,true,1,20.2118,Free Play,0,0.3500,,Off,0.0000
0.934,2.9259,0.3799,0,0.0,true,1,20.2643,Free Play,0,0.3500,,Off,0.0000
1.041,2.9621,0.2986,0,0.0,true,1,20.3035,Free Play,0,0.3500,,Off,0.0000
1.141,2.9889,0.2389,0,0.0,true,1,20.3292,Free Play,0,0.3500,,Off,0.0000
1.241,3.0103,0.1916,0,0.0,true,1,20.3478,Free Play,0,0.3500,,Off,0.0000
1.350,3.0289,0.1512,0,0.0,true,1,20.3626,Free Play,0,0.3500,,Off,0.0000
1.451,3.0426,0.1224,0,0.0,true,1,20.3725,Free Play,0,0.3500,,Off,0.0000
1.558,3.0544,0.1006,0,0.0,true,2,19.5878,Free Play,0,0.3500,,Off,0.0000
1.667,3.0647,0.0881,0,0.0,true,2,19.5949,Free Play,0,0.3500,,Off,0.0000
1.767,3.0731,0.0815,0,0.0,true,2,19.6003,Free Play,0,0.3500,,Off,0.0000
1.874,3.0817,0.0791,0,0.0,true,2,19.6055,Free Play,0,0.3500,,Off,0.0000
1.974,3.0897,0.0809,0,0.0,true,2,19.6101,Free Play,0,0.3500,,Off,0.0000
2.074,3.0980,0.0868,0,0.0,true,2,19.6145,Free Play,0,0.3500,,Off,0.0000
2.184,3.1081,0.0980,0,0.0,true,2,19.6193,Free Play,0,0.3500,,Off,0.0000
2.284,3.1186,0.1131,0,0.0,true,2,19.6238,Free Play,0,0.3500,,Off,0.0000
2.391,3.1318,0.1352,0,0.0,true,2,19.6287,Free Play,0,0.3500,,Off,0.0000
2.491,3.1467,0.1624,0,0.0,true,2,19.6331,Free Play,0,0.3500,,Off,0.0000
2.601,3.1665,0.2008,0,0.0,true,2,19.6371,Free Play,0,0.3500,,Off,0.0000
2.708,3.1905,0.2493,0,0.0,true,2,19.6393,Free Play,0,0.3500,,Off,0.0000
2.817,3.2210,0.3122,0,0.0,true,2,19.6378,Free Play,0,0.3500,,Off,0.0000
2.924,3.2586,0.3908,0,0.0,true,2,19.6293,Free Play,0,0.3500,,Off,0.0000
2.983,0.0,0.0,1,0.83,false,2,,Free Play,0,0.3500,0.000,,0.0000
3.026,3.2608,-0.3431,0,0.0,true,3,19.6092,Free Play,0,0.3500,,Off,0.0000
3.124,3.2311,-0.2539,0,0.0,true,3,19.6130,Free Play,0,0.3500,,Off,0.0000
3.224,3.2095,-0.1792,0,0.0,true,3,19.6134,Free Play,0,0.3500,,Off,0.0000
3.334,3.1938,-0.1091,0,0.0,true,3,19.6126,Free Play,0,0.3500,,Off,0.0000
3.434,3.1858,-0.0522,0,0.0,true,3,19.6118,Free Play,0,0.3500,,Off,0.0000
3.534,3.1833,0.0010,0,0.0,true,3,19.6115,Free Play,0,0.3500,,Off,0.0000
3.634,3.1860,0.0532,0,0.0,true,3,19.6117,Free Play,0,0.3500,,Off,0.0000
3.734,3.1940,0.1070,0,0.0,true,3,19.6123,Free Play,0,0.3500,,Off,0.0000
3.834,3.2075,0.1651,0,0.0,true,3,19.6123,Free Play,0,0.3500,,Off,0.0000
3.941,3.2289,0.2352,0,0.0,true,3,19.6103,Free Play,0,0.3500,,Off,0.0000
4.050,3.2590,0.3188,0,0.0,true,3,19.6033,Free Play,0,0.3500,,Off,0.0000
4.091,0.0,0.0,1,0.97,false,3,,Free Play,0,0.3500,0.000,,0.0000
4.150,3.2308,-0.5567,0,0.0,true,3,19.7359,Free Play,0,0.3500,,Off,0.0000
4.258,3.1754,-0.4791,0,0.0,true,3,19.7292,Free Play,0,0.3500,,Off,0.0000
4.367,3.1261,-0.4302,0,0.0,true,3,19.7114,Free Play,0,0.3500,,Off,0.0000
4.467,3.0842,-0.4087,0,0.0,true,3,19.6874,Free Play,0,0.3500,,Off,0.0000
4.574,3.0405,-0.4088,0,0.0,true,4,19.6535,Free Play,0,0.3500,,Off,0.0000
4.684,2.9948,-0.4328,0,0.0,true,4,19.6082,Free Play,0,0.3500,,Off,0.0000
4.741,0.0,0.0,-1,0.97,false,4,,Free Play,0,0.3500,0.000,,0.0000
4.791,3.0014,0.4832,0,0.0,true,4,19.6404,Free Play,0,0.3500,,Off,0.0000
4.900,3.0517,0.4449,0,0.0,true,4,19.6794,Free Play,0,0.3500,,Off,0.0000
5.008,3.0988,0.4336,0,0.0,true,4,19.7050,Free Play,0,0.3500,,Off,0.0000
5.108,3.1425,0.4458,0,0.0,true,4,19.7193,Free Play,0,0.3500,,Off,0.0000
5.217,3.1932,0.4842,0,0.0,true,4,19.7242,Free Play,0,0.3500,,Off,0.0000
5.324,3.2483,0.5490,0,0.0,true,4,19.7149,Free Play,0,0.3500,,Off,0.0000
5.366,0.0,0.0,1,0.98,false,4,,Free Play,0,0.3500,0.000,,0.0000
5.424,3.2425,-0.3375,0,0.0,true,4,19.6271,Free Play,0,0.3500,,Off,0.0000
5.533,3.2106,-0.2510,0,0.0,true,4,19.6282,Free Play,0,0.3500,,Off,0.0000
5.633,3.1888,-0.1864,0,0.0,true,4,19.6264,Free Play,0,0.3500,,Off,0.0000
5.733,3.1729,-0.1324,0,0.0,true,4,19.6239,Free Play,0,0.3500,,Off,0.0000
