timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.733,0.0,0.0,-1,1.72,false,1,,Golden,0,0.3500,0.000,,0.0000
1.091,0.0,0.0,1,1.46,false,1,,Golden,0,0.3500,0.000,,0.0000
1.583,0.0,0.0,1,1.45,false,1,,Golden,0,0.3500,0.000,,0.0000
2.850,0.0,0.0,-1,1.56,false,1,,Golden,0,0.3500,0.000,,0.0000
3.100,0.0,0.0,1,1.49,false,1,,Golden,0,0.3500,0.000,,0.0000
3.283,0.0,0.0,1,1.47,false,1,,Golden,0,0.3500,0.000,,0.0000
3.683,0.0,0.0,-1,1.63,false,1,,Golden,0,0.3500,0.000,,0.0000
4.175,0.0,0.0,-1,1.66,false,1,,Golden,0,0.3500,0.000,,0.0000
4.517,0.0,0.0,1,1.55,false,1,,Golden,0,0.3500,0.000,,0.0000
4.692,0.0,0.0,1,1.52,false,1,,Golden,0,0.3500,0.000,,0.0000
5.775,0.0,0.0,1,1.53,false,1,,Golden,0,0.3500,0.000,,0.0000
6.267,0.0,0.0,1,1.52,false,1,,Golden,0,0.3500,0.000,,0.0000
6.667,0.0,0.0,-1,1.64,false,1,,Golden,0,0.3500,0.000,,0.0000
6.725,2.6312,-0.2377,0,0.0,false,1,18.3981,Golden,0,0.3500,,Off,0.0000
6.825,2.5969,-0.4509,0,0.0,false,1,18.3019,Golden,0,0.3500,,Off,0.0000
6.883,0.0,0.0,-1,1.67,false,1,,Golden,0,0.3500,0.159,,0.0000
6.934,2.6326,0.9600,0,0.0,false,1,18.8374,Golden,0,0.3500,,Off,0.0000
7.034,2.7180,0.7495,0,0.0,false,1,19.0338,Golden,0,0.3500,,Off,0.0000
7.134,2.7841,0.5776,0,0.0,false,1,19.1666,Golden,0,0.3500,,Off,0.0000
7.241,2.8376,0.4271,0,0.0,false,1,19.2615,Golden,0,0.3500,,Off,0.0000
7.341,2.8744,0.3106,0,0.0,true,1,19.3201,Golden,0,0.3500,,Off,0.0000
7.450,2.9022,0.2029,0,0.0,true,1,19.3609,Golden,0,0.3500,,Off,0.0000
7.551,2.9182,0.1165,0,0.0,true,1,19.3829,Golden,0,0.3500,,Off,0.0000
7.658,2.9261,0.0321,0,0.0,true,1,19.3936,Golden,0,0.3500,,Off,0.0000
7.758,2.9255,-0.0433,0,0.0,true,1,19.3928,Golden,0,0.3500,,Off,0.0000
7.868,2.9163,-0.1265,0,0.0,true,1,19.3800,Golden,0,0.3500,,Off,0.0000
7.975,2.8981,-0.2135,0,0.0,true,1,19.3534,Golden,0,0.3500,,Off,0.0000
