timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.117,3.2865,0.1029,0,0.0,true,1,19.5225,Free Play,0,0.3500,,Off,0.0000
0.217,3.3019,0.2070,0,0.0,true,1,19.5156,Free Play,0,0.3500,,Off,0.0000
0.317,3.3282,0.3191,0,0.0,true,1,19.5007,Free Play,0,0.3500,,Off,0.0000
0.433,3.3737,0.4671,0,0.0,true,1,19.4659,Free Play,0,0.3500,,Off,0.0000
0.533,3.4277,0.6155,0,0.0,true,1,19.4106,Free Play,0,0.3500,,Off,0.0000
0.650,3.5112,0.8224,0,0.0,false,1,19.2957,Free Play,0,0.3500,,Off,0.0000
0.668,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.018,,0.0000
0.750,3.3043,-1.9740,0,0.0,true,1,21.4388,Free Play,0,0.3500,,Off,0.0000
0.851,3.1123,-1.8711,0,0.0,true,1,21.3664,Free Play,0,0.3500,,Off,0.0000
0.967,2.8960,-1.8709,0,0.0,true,1,21.0757,Free Play,0,0.3500,,Off,0.0000
1.067,2.7040,-1.9687,0,0.0,false,1,20.6336,Free Play,0,0.3500,,Off,0.0000
1.167,2.4986,-2.1529,0,0.0,false,1,19.9783,Free Play,0,0.3500,,Off,0.0000
1.284,2.2309,-2.4692,0,0.0,false,1,18.8737,Free Play,0,0.3500,,Off,0.0000
1.384,1.9661,-2.8184,0,0.0,false,1,17.5596,Free Play,0,0.3500,,Off,0.0000
1.501,1.6107,-3.2815,0,0.0,false,1,15.5860,Free Play,0,0.3500,,Off,0.0000
