timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.793,0.0,0.0,-1,1.79,false,1,,Random,0,0.3500,0.000,,0.0000
1.268,0.0,0.0,1,1.79,false,1,,Random,0,0.3500,0.000,,0.0000
1.760,0.0,0.0,-1,1.79,false,1,,Random,0,0.3500,0.000,,0.0000
2.110,0.0,0.0,-1,1.79,false,1,,Random,0,0.3500,0.000,,0.0000
2.726,0.0,0.0,1,1.79,false,1,,Random,0,0.3500,0.000,,0.0000
3.193,0.0,0.0,-1,1.79,false,1,,Random,0,0.3500,0.000,,0.0000
3.910,0.0,0.0,1,1.79,false,1,,Random,0,0.3500,0.000,,0.0000
4.618,0.0,0.0,-1,1.79,false,2,,Random,0,0.3500,0.000,,0.0000
5.676,0.0,0.0,-1,1.79,false,2,,Random,0,0.3500,0.000,,0.0000
6.010,0.0,0.0,1,1.79,false,2,,Random,0,0.3500,0.000,,0.0000
6.743,0.0,0.0,1,1.79,false,3,,Random,0,0.3500,0.000,,0.0000
7.110,0.0,0.0,-1,1.79,false,3,,Random,0,0.3500,0.000,,0.0000
