timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.117,3.0000,-0.0392,0,0.0,true,1,19.5225,Free Play,0,0.3500,,Off,0.0000
0.217,2.9941,-0.0786,0,0.0,true,1,19.5166,Free Play,0,0.3500,,Off,0.0000
0.333,2.9821,-0.1285,0,0.0,true,1,19.5037,Free Play,0,0.3500,,Off,0.0000
0.433,2.9668,-0.1771,0,0.0,true,1,19.4863,Free Play,0,0.3500,,Off,0.0000
0.533,2.9464,-0.2334,0,0.0,true,1,19.4609,Free Play,0,0.3500,,Off,0.0000
0.634,2.9197,-0.3002,0,0.0,true,1,19.4246,Free Play,0,0.3500,,Off,0.0000
0.750,2.8795,-0.3948,0,0.0,true,1,19.3628,Free Play,0,0.3500,,Off,0.0000
0.850,2.8351,-0.4945,0,0.0,true,1,19.2852,Free Play,0,0.3500,,Off,0.0000
0.967,2.7694,-0.6383,0,0.0,false,1,19.1521,Free Play,0,0.3500,,Off,0.0000
1.067,2.6982,-0.7907,0,0.0,false,1,18.9839,Free Play,0,0.3500,,Off,0.0000
1.167,2.6099,-0.9760,0,0.0,false,1,18.7421,Free Play,0,0.3500,,Off,0.0000
1.284,2.4814,-1.2398,0,0.0,false,1,18.3275,Free Play,0,0.3500,,Off,0.0000
1.400,2.3187,-1.5637,0,0.0,false,1,17.7041,Free Play,0,0.3500,,Off,0.0000
1.516,2.1148,-1.9507,0,0.0,false,1,16.7902,Free Play,0,0.3500,,Off,0.0000
1.616,1.9010,-2.3308,0,0.0,false,1,15.7072,Free Play,0,0.3500,,Off,0.0000
1.716,1.6475,-2.7413,0,0.0,false,1,14.3187,Free Play,0,0.3500,,Off,0.0000
