timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.641,0.0,0.0,-1,1.99,false,1,,Golden,0,0.3500,0.000,,0.0000
1.033,0.0,0.0,1,1.65,false,1,,Golden,0,0.3500,0.000,,0.0000
1.191,0.0,0.0,1,1.59,false,1,,Golden,0,0.3500,0.000,,0.0000
1.983,0.0,0.0,1,1.64,false,1,,Golden,0,0.3500,0.000,,0.0000
2.875,0.0,0.0,1,1.65,false,1,,Golden,0,0.3500,0.000,,0.0000
4.041,0.0,0.0,-1,1.53,false,1,,Golden,0,0.3500,0.000,,0.0000
4.458,0.0,0.0,1,1.69,false,1,,Golden,0,0.3500,0.000,,0.0000
5.166,0.0,0.0,-1,1.68,false,1,,Golden,0,0.3500,0.000,,0.0000
5.508,0.0,0.0,1,1.71,false,2,,Golden,0,0.3500,0.000,,0.0000
5.733,0.0,0.0,1,1.65,false,2,,Golden,0,0.3500,0.000,,0.0000
6.108,0.0,0.0,-1,1.71,false,2,,Golden,0,0.3500,0.000,,0.0000
7.508,0.0,0.0,1,1.70,false,3,,Golden,0,0.3500,0.000,,0.0000
