timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.049,3.1246,-0.5054,0,0.0,true,2,19.7463,Free Play,0,0.3500,,Off,0.0000
0.150,3.0753,-0.4850,0,0.0,true,2,19.7161,Free Play,0,0.3500,,Off,0.0000
0.258,3.0224,-0.4906,0,0.0,true,2,19.6708,Free Play,0,0.3500,,Off,0.0000
0.358,2.9720,-0.5210,0,0.0,true,2,19.6150,Free Play,0,0.3500,,Off,0.0000
0.466,2.9130,-0.5816,0,0.0,true,2,19.5339,Free Play,0,0.3500,,Off,0.0000
0.575,2.8447,-0.6751,0,0.0,true,2,19.4188,Free Play,0,0.3500,,Off,0.0000
0.676,2.7713,-0.7930,0,0.0,false,2,19.2695,Free Play,0,0.3500,,Off,0.0000
0.783,2.6779,-0.9572,0,0.0,false,2,19.0422,Free Play,0,0.3500,,Off,0.0000
0.883,2.5728,-1.1513,0,0.0,false,2,18.7381,Free Play,0,0.3500,,Off,0.0000
0.926,0.0,0.0,-1,1.79,false,2,,Free Play,0,0.3500,0.250,,0.0000
0.992,2.5686,0.3710,0,0.0,false,2,18.1221,Free Play,0,0.3500,,Off,0.0000
1.092,2.5937,0.1314,0,0.0,false,2,18.1926,Free Play,0,0.3500,,Off,0.0000
1.199,2.5946,-0.1138,0,0.0,false,2,18.1950,Free Play,0,0.3500,,Off,0.0000
1.299,2.5718,-0.3425,0,0.0,false,2,18.1288,Free Play,0,0.3500,,Off,0.0000
1.409,0.0,0.0,-1,1.79,false,2,,Free Play,0,0.3500,0.733,,0.0000
1.410,2.5387,1.1799,0,0.0,false,2,18.5865,Free Play,0,0.3500,,Off,0.0000
1.516,2.6491,0.9161,0,0.0,false,2,18.8739,Free Play,0,0.3500,,Off,0.0000
1.625,2.7369,0.6964,0,0.0,false,2,19.0700,Free Play,0,0.3500,,Off,0.0000
1.733,2.8019,0.5225,0,0.0,true,2,19.1961,Free Play,0,0.3500,,Off,0.0000
1.833,2.8473,0.3894,0,0.0,true,2,19.2741,Free Play,0,0.3500,,Off,0.0000
1.942,2.8831,0.2678,0,0.0,true,2,19.3298,Free Play,0,0.3500,,Off,0.0000
2.042,2.9050,0.1725,0,0.0,true,2,19.3616,Free Play,0,0.3500,,Off,0.0000
2.149,2.9185,0.0816,0,0.0,true,2,19.3803,Free Play,0,0.3500,,Off,0.0000
2.249,2.9227,0.0028,0,0.0,true,2,19.3860,Free Play,0,0.3500,,Off,0.0000
2.349,2.9191,-0.0744,0,0.0,true,2,19.3810,Free Play,0,0.3500,,Off,0.0000
2.409,0.0,0.0,1,1.79,false,2,,Free Play,0,0.3500,0.000,,0.0000
2.449,2.8185,-1.9377,0,0.0,true,2,20.9896,Free Play,0,0.3500,,Off,0.0000
2.549,2.6187,-2.0711,0,0.0,false,2,20.4540,Free Play,0,0.3500,,Off,0.0000
2.649,2.4014,-2.2907,0,0.0,false,2,19.6766,Free Play,0,0.3500,,Off,0.0000
2.759,2.1341,-2.6208,0,0.0,false,2,18.4826,Free Play,0,0.3500,,Off,0.0000
2.784,0.0,0.0,-1,1.79,false,2,,Free Play,0,0.3500,0.235,,0.0000
2.859,2.0019,-1.2157,0,0.0,false,2,14.6484,Free Play,0,0.3500,,Off,0.0000
2.966,1.8477,-1.6575,0,0.0,false,2,13.8651,Free Play,0,0.3500,,Off,0.0000
3.017,0.0,0.0,-1,1.79,false,2,,Free Play,0,0.3500,0.468,,0.0000
3.066,1.7625,-0.3105,0,0.0,false,2,11.7276,Free Play,0,0.3500,,Off,0.0000
3.175,1.7015,-0.8074,0,0.0,false,2,11.4142,Free Play,0,0.3500,,Off,0.0000
3.250,0.0,0.0,-1,1.79,false,2,,Free Play,0,0.3500,0.701,,0.0000
3.275,1.6577,0.5208,0,0.0,false,2,10.7972,Free Play,0,0.3500,,Off,0.0000
3.383,1.6861,0.0089,0,0.0,false,2,10.9384,Free Play,0,0.3500,,Off,0.0000
3.492,0.0,0.0,-1,1.79,false,2,,Free Play,0,0.3500,0.943,,0.0000
3.494,1.6781,1.2783,0,0.0,false,2,11.6778,Free Play,0,0.3500,,Off,0.0000
3.604,1.7889,0.7450,0,0.0,false,2,12.2099,Free Play,0,0.3500,,Off,0.0000
3.709,1.8413,0.2529,0,0.0,false,2,12.4632,Free Play,0,0.3500,,Off,0.0000
3.726,0.0,0.0,-1,1.79,false,2,,Free Play,0,0.3500,1.176,,0.0000
3.816,2.0201,1.5374,0,0.0,false,2,15.2524,Free Play,0,0.3500,,Off,0.0000
3.916,2.1519,1.1062,0,0.0,false,2,15.8072,Free Play,0,0.3500,,Off,0.0000
4.025,2.2490,0.6795,0,0.0,false,2,16.1957,Free Play,0,0.3500,,Off,0.0000
4.126,2.2988,0.3181,0,0.0,false,2,16.3883,Free Play,0,0.3500,,Off,0.0000
4.233,2.3132,-0.0488,0,0.0,false,2,16.4431,Free Play,0,0.3500,,Off,0.0000
4.284,0.0,0.0,-1,1.79,false,2,,Free Play,0,0.3500,1.735,,0.0000
4.342,2.4067,1.3647,0,0.0,false,2,18.0194,Free Play,0,0.3500,,Off,0.0000
4.442,2.5278,1.0593,0,0.0,false,2,18.3904,Free Play,0,0.3500,,Off,0.0000
4.549,2.6264,0.7870,0,0.0,false,2,18.6561,Free Play,0,0.3500,,Off,0.0000
4.658,2.6992,0.5561,0,0.0,false,2,18.8303,Free Play,0,0.3500,,Off,0.0000
4.759,2.7457,0.3745,0,0.0,false,2,18.9314,Free Play,0,0.3500,,Off,0.0000
4.866,2.7765,0.2034,0,0.0,false,2,18.9942,Free Play,0,0.3500,,Off,0.0000
4.966,2.7895,0.0570,0,0.0,false,2,19.0197,Free Play,0,0.3500,,Off,0.0000
5.075,2.7873,-0.0969,0,0.0,false,2,19.0153,Free Play,0,0.3500,,Off,0.0000
5.183,2.7687,-0.2499,0,0.0,false,2,18.9771,Free Play,0,0.3500,,Off,0.0000
5.292,2.7325,-0.4159,0,0.0,false,2,18.8970,Free Play,0,0.3500,,Off,0.0000
5.301,0.0,0.0,-1,1.79,false,2,,Free Play,0,0.3500,2.751,,0.0000
5.399,2.8704,1.2028,0,0.0,true,2,19.9848,Free Play,0,0.3500,,Off,0.0000
5.499,2.9853,1.1055,0,0.0,true,2,20.1116,Free Play,0,0.3500,,Off,0.0000
5.609,3.1034,1.0633,0,0.0,true,2,20.1782,Free Play,0,0.3500,,Off,0.0000
5.716,3.2180,1.0843,0,0.0,true,2,20.1792,Free Play,0,0.3500,,Off,0.0000
5.816,3.3297,1.1590,0,0.0,true,2,20.1185,Free Play,0,0.3500,,Off,0.0000
5.925,3.4635,1.3036,0,0.0,true,2,19.9657,Free Play,0,0.3500,,Off,0.0000
5.934,0.0,0.0,1,1.79,false,2,,Free Play,0,0.3500,0.000,,0.0000
6.025,3.4243,-0.2999,0,0.0,true,2,19.2755,Free Play,0,0.3500,,Off,0.0000
6.133,3.4020,-0.1182,0,0.0,true,2,19.2963,Free Play,0,0.3500,,Off,0.0000
6.233,3.3982,0.0413,0,0.0,true,2,19.2997,Free Play,0,0.3500,,Off,0.0000
6.333,3.4102,0.1997,0,0.0,true,2,19.2881,Free Play,0,0.3500,,Off,0.0000
6.433,3.4383,0.3645,0,0.0,true,2,19.2577,Free Play,0,0.3500,,Off,0.0000
6.542,3.4886,0.5605,0,0.0,true,2,19.1924,Free Play,0,0.3500,,Off,0.0000
6.642,3.5546,0.7638,0,0.0,false,2,19.0867,Free Play,0,0.3500,,Off,0.0000
6.651,0.0,0.0,1,1.79,false,2,,Free Play,0,0.3500,0.009,,0.0000
6.749,3.4578,-0.7834,0,0.0,true,2,19.4405,Free Play,0,0.3500,,Off,0.0000
6.849,3.3889,-0.5998,0,0.0,true,2,19.5013,Free Play,0,0.3500,,Off,0.0000
6.949,3.3367,-0.4487,0,0.0,true,2,19.5344,Free Play,0,0.3500,,Off,0.0000
7.049,3.2984,-0.3225,0,0.0,true,2,19.5517,Free Play,0,0.3500,,Off,0.0000
7.149,3.2716,-0.2146,0,0.0,true,2,19.5602,Free Play,0,0.3500,,Off,0.0000
7.249,3.2550,-0.1195,0,0.0,true,2,19.5641,Free Play,0,0.3500,,Off,0.0000
7.349,3.2475,-0.0322,0,0.0,true,2,19.5656,Free Play,0,0.3500,,Off,0.0000
7.458,3.2490,0.0595,0,0.0,true,2,19.5653,Free Play,0,0.3500,,Off,0.0000
7.559,3.2592,0.1450,0,0.0,true,2,19.5627,Free Play,0,0.3500,,Off,0.0000
7.666,3.2799,0.2425,0,0.0,true,2,19.5557,Free Play,0,0.3500,,Off,0.0000
7.775,3.3123,0.3538,0,0.0,true,2,19.5400,Free Play,0,0.3500,,Off,0.0000
7.883,3.3570,0.4814,0,0.0,true,2,19.5091,Free Play,0,0.3500,,Off,0.0000
7.992,3.4178,0.6358,0,0.0,true,2,19.4504,Free Play,0,0.3500,,Off,0.0000
8.051,0.0,0.0,1,1.79,false,2,,Free Play,0,0.3500,0.000,,0.0000
8.099,3.3931,-0.9649,0,0.0,true,2,19.7769,Free Play,0,0.3500,,Off,0.0000
8.199,3.3045,-0.8134,0,0.0,true,2,19.8208,Free Play,0,0.3500,,Off,0.0000
8.308,3.2226,-0.6969,0,0.0,true,3,19.8307,Free Play,0,0.3500,,Off,0.0000
8.409,3.1564,-0.6284,0,0.0,true,3,19.8164,Free Play,0,0.3500,,Off,0.0000
8.509,3.0956,-0.5927,0,0.0,true,3,19.7853,Free Play,0,0.3500,,Off,0.0000
8.616,3.0326,-0.5880,0,0.0,true,3,19.7347,Free Play,0,0.3500,,Off,0.0000
8.716,2.9727,-0.6138,0,0.0,true,3,19.6689,Free Play,0,0.3500,,Off,0.0000
8.826,2.9025,-0.6761,0,0.0,true,3,19.5694,Free Play,0,0.3500,,Off,0.0000
8.909,0.0,0.0,-1,1.79,false,3,,Free Play,0,0.3500,0.000,,0.0000
8.933,2.8847,1.0104,0,0.0,true,3,19.8084,Free Play,0,0.3500,,Off,0.0000
9.033,2.9807,0.9192,0,0.0,true,3,19.9158,Free Play,0,0.3500,,Off,0.0000
9.133,3.0701,0.8749,0,0.0,true,3,19.9777,Free Play,0,0.3500,,Off,0.0000
9.242,3.1655,0.8771,0,0.0,true,3,20.0019,Free Play,0,0.3500,,Off,0.0000
9.349,3.2619,0.9299,0,0.0,true,3,19.9815,Free Play,0,0.3500,,Off,0.0000
9.450,0.0,0.0,1,1.79,false,3,,Free Play,0,0.3500,0.000,,0.0000
9.451,3.3443,-0.7605,0,0.0,true,3,19.7083,Free Play,0,0.3500,,Off,0.0000
9.559,3.2703,-0.6239,0,0.0,true,3,19.7334,Free Play,0,0.3500,,Off,0.0000
9.659,3.2127,-0.5313,0,0.0,true,3,19.7363,Free Play,0,0.3500,,Off,0.0000
9.766,3.1596,-0.4633,0,0.0,true,4,19.7257,Free Play,0,0.3500,,Off,0.0000
9.875,3.1115,-0.4229,0,0.0,true,4,19.7050,Free Play,0,0.3500,,Off,0.0000
9.983,3.0670,-0.4084,0,0.0,true,4,19.6761,Free Play,0,0.3500,,Off,0.0000
10.083,3.0259,-0.4163,0,0.0,true,4,19.6411,Free Play,0,0.3500,,Off,0.0000
10.192,2.9790,-0.4482,0,0.0,true,4,19.5911,Free Play,0,0.3500,,Off,0.0000
10.299,2.9280,-0.5046,0,0.0,true,4,19.5244,Free Play,0,0.3500,,Off,0.0000
10.351,0.0,0.0,-1,1.79,false,4,,Free Play,0,0.3500,0.000,,0.0000
10.399,2.9767,1.2037,0,0.0,true,4,20.2114,Free Play,0,0.3500,,Off,0.0000
10.499,3.0944,1.1588,0,0.0,true,4,20.2805,Free Play,0,0.3500,,Off,0.0000
10.599,3.2105,1.1724,0,0.0,true,4,20.2840,Free Play,0,0.3500,,Off,0.0000
10.699,3.3308,1.2438,0,0.0,true,4,20.2184,Free Play,0,0.3500,,Off,0.0000
10.784,0.0,0.0,1,1.79,false,4,,Free Play,0,0.3500,0.000,,0.0000
10.808,3.4141,-0.3948,0,0.0,true,4,19.3359,Free Play,0,0.3500,,Off,0.0000
10.908,3.3830,-0.2305,0,0.0,true,4,19.3621,Free Play,0,0.3500,,Off,0.0000
11.008,3.3675,-0.0806,0,0.0,true,4,19.3740,Free Play,0,0.3500,,Off,0.0000
11.116,3.3671,0.0731,0,0.0,true,4,19.3742,Free Play,0,0.3500,,Off,0.0000
11.209,0.0,0.0,1,1.79,false,4,,Free Play,0,0.3500,0.000,,0.0000
11.216,3.3519,-1.5698,0,0.0,true,4,20.6361,Free Play,0,0.3500,,Off,0.0000
11.325,3.1891,-1.4337,0,0.0,true,5,20.6367,Free Play,0,0.3500,,Off,0.0000
11.425,3.0482,-1.3857,0,0.0,true,5,20.5374,Free Play,0,0.3500,,Off,0.0000
11.527,2.9063,-1.4087,0,0.0,true,5,20.3418,Free Play,0,0.3500,,Off,0.0000
11.617,0.0,0.0,-1,1.79,false,5,,Free Play,0,0.3500,0.000,,0.0000
11.633,2.7969,0.2786,0,0.0,true,5,19.0816,Free Play,0,0.3500,,Off,0.0000
11.742,2.8190,0.1305,0,0.0,true,5,19.1225,Free Play,0,0.3500,,Off,0.0000
11.842,2.8257,0.0039,0,0.0,true,5,19.1345,Free Play,0,0.3500,,Off,0.0000
11.942,2.8199,-0.1200,0,0.0,true,5,19.1239,Free Play,0,0.3500,,Off,0.0000
