timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.174,2.9998,-0.0404,0,0.0,true,1,19.5224,Free Play,0,0.3500,,Off,0.0000
0.274,2.9938,-0.0798,0,0.0,true,1,19.5163,Free Play,0,0.3500,,Off,0.0000
0.374,2.9837,-0.1225,0,0.0,true,1,19.5055,Free Play,0,0.3500,,Off,0.0000
0.474,2.9691,-0.1703,0,0.0,true,1,19.4890,Free Play,0,0.3500,,Off,0.0000
0.582,2.9476,-0.2302,0,0.0,true,1,19.4626,Free Play,0,0.3500,,Off,0.0000
0.682,2.9214,-0.2961,0,0.0,true,1,19.4270,Free Play,0,0.3500,,Off,0.0000
0.782,2.8880,-0.3752,0,0.0,true,1,19.3766,Free Play,0,0.3500,,Off,0.0000
0.882,2.8458,-0.4707,0,0.0,true,1,19.3049,Free Play,0,0.3500,,Off,0.0000
0.991,2.7879,-0.5981,0,0.0,false,1,19.1918,Free Play,0,0.3500,,Off,0.0000
1.092,2.7209,-0.7425,0,0.0,false,1,19.0401,Free Play,0,0.3500,,Off,0.0000
1.126,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.135,,0.0000
1.199,2.8805,2.0665,0,0.0,true,1,21.4228,Free Play,0,0.3500,,Off,0.0000
1.299,3.0820,1.9782,0,0.0,true,1,21.5592,Free Play,0,0.3500,,Off,0.0000
1.399,3.2796,1.9897,0,0.0,true,1,21.5060,Free Play,0,0.3500,,Off,0.0000
1.508,3.5016,2.1127,0,0.0,false,1,21.2229,Free Play,0,0.3500,,Off,0.0000
1.575,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.067,,0.0000
1.608,3.5967,-0.6607,0,0.0,false,1,18.8395,Free Play,0,0.3500,,Off,0.0000
1.708,3.5434,-0.4115,0,0.0,false,1,18.9234,Free Play,0,0.3500,,Off,0.0000
1.808,3.5136,-0.1854,0,0.0,false,1,18.9662,Free Play,0,0.3500,,Off,0.0000
1.909,3.5058,0.0276,0,0.0,false,1,18.9771,Free Play,0,0.3500,,Off,0.0000
2.016,3.5207,0.2523,0,0.0,false,1,18.9551,Free Play,0,0.3500,,Off,0.0000
2.116,3.5567,0.4694,0,0.0,false,1,18.8969,Free Play,0,0.3500,,Off,0.0000
2.192,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.684,,0.0000
2.225,3.4952,-2.2613,0,0.0,false,1,21.5700,Free Play,0,0.3500,,Off,0.0000
2.325,3.2795,-2.0659,0,0.0,true,1,21.6608,Free Play,0,0.3500,,Off,0.0000
2.433,3.0631,-1.9732,0,0.0,true,1,21.5366,Free Play,0,0.3500,,Off,0.0000
2.542,2.8474,-1.9967,0,0.0,true,1,21.1920,Free Play,0,0.3500,,Off,0.0000
2.653,2.6203,-2.1348,0,0.0,false,1,20.5957,Free Play,0,0.3500,,Off,0.0000
2.700,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.048,,0.0000
2.758,2.5822,0.6172,0,0.0,false,1,18.3154,Free Play,0,0.3500,,Off,0.0000
2.859,2.6323,0.3835,0,0.0,false,1,18.4483,Free Play,0,0.3500,,Off,0.0000
2.966,2.6611,0.1570,0,0.0,false,1,18.5215,Free Play,0,0.3500,,Off,0.0000
3.075,2.6663,-0.0606,0,0.0,false,1,18.5345,Free Play,0,0.3500,,Off,0.0000
3.183,2.6485,-0.2725,0,0.0,false,1,18.4884,Free Play,0,0.3500,,Off,0.0000
3.291,2.6068,-0.4969,0,0.0,false,1,18.3736,Free Play,0,0.3500,,Off,0.0000
3.391,2.5460,-0.7209,0,0.0,false,1,18.1910,Free Play,0,0.3500,,Off,0.0000
3.499,2.4540,-0.9910,0,0.0,false,1,17.8821,Free Play,0,0.3500,,Off,0.0000
3.608,2.3295,-1.3027,0,0.0,false,1,17.4078,Free Play,0,0.3500,,Off,0.0000
3.716,2.1705,-1.6564,0,0.0,false,1,16.7185,Free Play,0,0.3500,,Off,0.0000
3.816,1.9865,-2.0265,0,0.0,false,1,15.8249,Free Play,0,0.3500,,Off,0.0000
3.925,1.7426,-2.4659,0,0.0,false,1,14.5273,Free Play,0,0.3500,,Off,0.0000
