timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.491,0.0,0.0,1,1.59,false,1,,Golden,0,0.3500,0.000,,0.0000
0.991,0.0,0.0,-1,1.88,false,1,,Golden,0,0.3500,0.000,,0.0000
1.417,0.0,0.0,1,1.78,false,1,,Golden,0,0.3500,0.000,,0.0000
1.733,0.0,0.0,1,1.73,false,1,,Golden,0,0.3500,0.000,,0.0000
2.266,0.0,0.0,-1,1.69,false,1,,Golden,0,0.3500,0.000,,0.0000
2.850,0.0,0.0,1,1.78,false,1,,Golden,0,0.3500,0.000,,0.0000
3.241,0.0,0.0,-1,1.83,false,1,,Golden,0,0.3500,0.000,,0.0000
3.508,0.0,0.0,-1,1.78,false,1,,Golden,0,0.3500,0.000,,0.0000
4.008,0.0,0.0,1,1.81,false,1,,Golden,0,0.3500,0.000,,0.0000
5.675,0.0,0.0,1,1.75,false,1,,Golden,0,0.3500,0.000,,0.0000
6.091,0.0,0.0,-1,1.83,false,2,,Golden,0,0.3500,0.000,,0.0000
6.525,0.0,0.0,1,1.84,false,2,,Golden,0,0.3500,0.000,,0.0000
6.766,0.0,0.0,1,1.78,false,2,,Golden,0,0.3500,0.000,,0.0000
7.200,0.0,0.0,-1,1.82,false,2,,Golden,0,0.3500,0.000,,0.0000
7.500,0.0,0.0,-1,1.80,false,2,,Golden,0,0.3500,0.000,,0.0000
8.675,0.0,0.0,1,1.79,false,2,,Golden,0,0.3500,0.000,,0.0000
9.075,0.0,0.0,-1,1.84,false,2,,Golden,0,0.3500,0.000,,0.0000
9.358,0.0,0.0,-1,1.85,false,2,,Golden,0,0.3500,0.000,,0.0000
10.066,0.0,0.0,1,1.80,false,2,,Golden,0,0.3500,0.000,,0.0000
10.441,0.0,0.0,-1,1.90,false,2,,Golden,0,0.3500,0.000,,0.0000
11.008,0.0,0.0,1,1.85,false,2,,Golden,0,0.3500,0.000,,0.0000
11.475,0.0,0.0,1,1.80,false,3,,Golden,0,0.3500,0.000,,0.0000
11.841,0.0,0.0,-1,1.95,false,3,,Golden,0,0.3500,0.000,,0.0000
