timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.108,3.2864,0.1025,0,0.0,true,1,19.5226,Free Play,0,0.3500,,Off,0.0000
0.208,3.3018,0.2066,0,0.0,true,1,19.5156,Free Play,0,0.3500,,Off,0.0000
0.316,3.3306,0.3279,0,0.0,true,1,19.4991,Free Play,0,0.3500,,Off,0.0000
0.425,3.3736,0.4666,0,0.0,true,1,19.4660,Free Play,0,0.3500,,Off,0.0000
0.526,3.4278,0.6157,0,0.0,true,1,19.4105,Free Play,0,0.3500,,Off,0.0000
0.633,3.5037,0.8046,0,0.0,false,1,19.3074,Free Play,0,0.3500,,Off,0.0000
0.742,3.6039,1.0368,0,0.0,false,1,19.1278,Free Play,0,0.3500,,Off,0.0000
0.843,3.7203,1.2938,0,0.0,false,1,18.8593,Free Play,0,0.3500,,Off,0.0000
0.927,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.294,,0.0000
0.949,3.7764,-1.3639,0,0.0,false,1,18.6393,Free Play,0,0.3500,,Off,0.0000
1.050,3.6567,-1.0373,0,0.0,false,1,18.8849,Free Play,0,0.3500,,Off,0.0000
1.150,3.5671,-0.7621,0,0.0,false,1,19.0355,Free Play,0,0.3500,,Off,0.0000
1.259,3.4982,-0.5066,0,0.0,false,1,19.1312,Free Play,0,0.3500,,Off,0.0000
1.359,3.4579,-0.3022,0,0.0,true,1,19.1792,Free Play,0,0.3500,,Off,0.0000
1.466,3.4362,-0.1038,0,0.0,true,1,19.2026,Free Play,0,0.3500,,Off,0.0000
1.566,3.4347,0.0722,0,0.0,true,1,19.2043,Free Play,0,0.3500,,Off,0.0000
1.593,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.676,3.1751,-2.7422,0,0.0,true,1,23.3742,Free Play,0,0.3500,,Off,0.0000
1.783,2.8844,-2.7102,0,0.0,true,1,22.9698,Free Play,0,0.3500,,Off,0.0000
1.887,2.5980,-2.8220,0,0.0,false,1,22.1878,Free Play,0,0.3500,,Off,0.0000
1.951,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.064,,0.0000
1.993,2.4393,-0.0813,0,0.0,false,1,17.3020,Free Play,0,0.3500,,Off,0.0000
2.100,2.4139,-0.3936,0,0.0,false,1,17.2128,Free Play,0,0.3500,,Off,0.0000
2.209,2.3533,-0.7216,0,0.0,false,1,16.9871,Free Play,0,0.3500,,Off,0.0000
2.292,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.405,,0.0000
2.309,2.3421,1.9453,0,0.0,false,1,18.5402,Free Play,0,0.3500,,Off,0.0000
2.409,2.5196,1.6154,0,0.0,false,1,19.0875,Free Play,0,0.3500,,Off,0.0000
2.516,2.6779,1.3405,0,0.0,false,1,19.4827,Free Play,0,0.3500,,Off,0.0000
2.625,2.8124,1.1381,0,0.0,true,1,19.7408,Free Play,0,0.3500,,Off,0.0000
2.733,2.9271,1.0050,0,0.0,true,1,19.9003,Free Play,0,0.3500,,Off,0.0000
2.833,3.0237,0.9346,0,0.0,true,1,19.9887,Free Play,0,0.3500,,Off,0.0000
2.933,3.1157,0.9118,0,0.0,true,1,20.0324,Free Play,0,0.3500,,Off,0.0000
3.033,3.2076,0.9348,0,0.0,true,1,20.0355,Free Play,0,0.3500,,Off,0.0000
3.142,3.3135,1.0124,0,0.0,true,1,19.9879,Free Play,0,0.3500,,Off,0.0000
3.226,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.250,3.3290,-1.8433,0,0.0,true,1,21.1472,Free Play,0,0.3500,,Off,0.0000
3.358,3.1359,-1.7218,0,0.0,true,1,21.1021,Free Play,0,0.3500,,Off,0.0000
3.459,2.9648,-1.7018,0,0.0,true,1,20.9152,Free Play,0,0.3500,,Off,0.0000
3.559,2.7920,-1.7657,0,0.0,true,1,20.5854,Free Play,0,0.3500,,Off,0.0000
3.660,2.6073,-1.9122,0,0.0,false,1,20.0808,Free Play,0,0.3500,,Off,0.0000
