timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.117,3.2331,0.0795,0,0.0,true,1,19.5821,Progressive,0,0.3500,,Off,0.0000
0.250,3.2495,0.1790,0,0.0,true,1,19.5790,Progressive,0,0.3500,,Off,0.0000
0.366,3.2761,0.2803,0,0.0,true,1,19.5707,Progressive,0,0.3500,,Off,0.0000
0.466,3.3090,0.3800,0,0.0,true,1,19.5550,Progressive,0,0.3500,,Off,0.0000
0.568,3.3532,0.4978,0,0.0,true,1,19.5250,Progressive,0,0.3500,,Off,0.0000
0.684,3.4204,0.6616,0,0.0,true,1,19.4600,Progressive,0,0.3500,,Off,0.0000
0.784,3.4952,0.8337,0,0.0,false,1,19.3607,Progressive,0,0.3500,,Off,0.0000
0.884,3.5886,1.0407,0,0.0,false,1,19.1977,Progressive,0,0.3500,,Off,0.0000
0.969,0.0,0.0,-1,3.00,false,1,,Progressive,0,0.3500,0.184,,0.0000
1.001,3.8743,4.3214,0,0.0,false,1,26.4396,Progressive,0,0.3500,,Off,0.0000
1.118,4.4013,4.7379,0,0.0,false,1,24.0365,Progressive,0,0.3500,,Off,0.0000
