timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.133,3.2878,0.1155,0,0.0,true,1,19.5220,Free Play,0,0.3500,,Helper,0.0000
0.234,3.3005,0.1381,0,0.0,true,1,19.5060,Free Play,0,0.3500,,Helper,-0.0275
0.349,3.3113,0.0745,0,0.0,true,1,19.4819,Free Play,0,0.3500,,Helper,-0.0275
0.466,3.3150,0.0182,0,0.0,true,1,19.4730,Free Play,0,0.3500,,Helper,-0.0275
0.583,3.3123,-0.0369,0,0.0,true,1,19.4780,Free Play,0,0.3500,,Helper,-0.0275
0.683,3.3049,-0.0855,0,0.0,true,1,19.4932,Free Play,0,0.3500,,Helper,-0.0275
0.791,3.2916,-0.1316,0,0.0,true,1,19.5185,Free Play,0,0.3500,,Helper,0.0000
0.835,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
0.900,3.0369,-3.0168,0,0.0,true,1,24.1167,Free Play,0,0.3500,,Helper,0.0000
1.000,2.7983,-1.9269,0,0.0,true,1,20.9042,Free Play,0,0.3500,,Helper,0.0275
1.133,2.6102,-1.6600,0,0.0,false,1,19.6453,Free Play,0,0.3500,,Helper,0.2750
1.233,2.5295,-0.2391,0,0.0,false,1,17.8675,Free Play,0,0.3500,,Helper,0.2750
1.350,2.5997,0.8973,0,0.0,false,1,18.6171,Free Play,0,0.3500,,Helper,-0.0916
1.467,2.6983,0.7440,0,0.0,false,1,18.9484,Free Play,0,0.3500,,Helper,-0.0108
1.583,2.7725,0.5599,0,0.0,false,1,19.1161,Free Play,0,0.3500,,Helper,0.0110
