timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.917,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.484,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.819,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.901,4.5205,-0.5946,0,0.0,false,1,11.8580,Free Play,0,0.3500,,Off,0.0000
2.018,4.4873,0.0237,0,0.0,false,1,11.9994,Free Play,0,0.3500,,Off,0.0000
2.118,4.5158,0.5429,0,0.0,false,1,11.8738,Free Play,0,0.3500,,Off,0.0000
2.152,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.251,,0.0000
2.234,4.3172,-1.8178,0,0.0,false,1,15.2393,Free Play,0,0.3500,,Off,0.0000
2.351,4.1400,-1.2283,0,0.0,false,1,15.8782,Free Play,0,0.3500,,Off,0.0000
2.385,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.484,,0.0000
2.468,3.7294,-3.6899,0,0.0,false,1,24.7809,Free Play,0,0.3500,,Off,0.0000
2.518,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.617,,0.0000
2.568,3.1773,-6.3819,0,0.0,true,1,39.9780,Free Play,0,0.3500,,Off,0.0000
2.684,2.4366,-6.3847,0,0.0,false,1,37.6632,Free Play,0,0.3500,,Off,0.0000
2.785,1.7846,-6.6470,0,0.0,false,1,33.9825,Free Play,0,0.3500,,Off,0.0000
