timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.918,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.401,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.619,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.085,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.901,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.367,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.051,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.467,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.851,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.985,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.917,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.084,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
