timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
1.285,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.252,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.535,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.136,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.368,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.734,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.034,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.268,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.618,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.267,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.284,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
9.133,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
9.967,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
10.534,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
11.850,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
12.350,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
12.767,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
13.317,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
14.333,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
15.117,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
15.517,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
15.933,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
16.233,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
16.400,3.6993,-2.5512,0,0.0,false,2,21.3880,Free Play,0,0.3500,,Off,0.0000
16.516,3.4228,-2.2244,0,0.0,true,2,21.7085,Free Play,0,0.3500,,Off,0.0000
16.633,3.1750,-2.0479,0,0.0,true,2,21.7114,Free Play,0,0.3500,,Off,0.0000
16.749,2.9395,-2.0134,0,0.0,true,2,21.4472,Free Play,0,0.3500,,Off,0.0000
16.849,2.7350,-2.0906,0,0.0,false,2,21.0056,Free Play,0,0.3500,,Off,0.0000
16.950,2.5175,-2.2621,0,0.0,false,2,20.3291,Free Play,0,0.3500,,Off,0.0000
17.066,2.2375,-2.5706,0,0.0,false,2,19.1807,Free Play,0,0.3500,,Off,0.0000
17.167,1.9601,-2.9207,0,0.0,false,2,17.7983,Free Play,0,0.3500,,Off,0.0000
17.234,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.384,,0.0000
17.283,1.7934,-0.4128,0,0.0,false,2,12.0606,Free Play,0,0.3500,,Off,0.0000
17.399,1.7149,-0.9367,0,0.0,false,2,11.6573,Free Play,0,0.3500,,Off,0.0000
17.516,1.5751,-1.4594,0,0.0,false,2,10.9171,Free Play,0,0.3500,,Off,0.0000
