timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.852,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.784,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.719,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.268,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.585,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.885,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.651,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.885,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.251,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.984,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.817,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.485,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.984,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.684,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.100,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
