timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
1.184,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.968,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.317,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.351,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.634,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.683,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.667,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.467,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.267,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.984,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.417,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.500,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.284,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.767,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.083,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.300,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.450,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
