timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
1.368,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.518,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
4.351,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
5.651,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
5.984,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
6.800,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
7.101,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
7.884,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
8.101,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
8.484,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
9.001,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
9.684,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
12.033,0.0,0.0,-1,3.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
13.017,0.0,0.0,1,3.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
