timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.902,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.734,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.551,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.118,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.501,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.302,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.851,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.067,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.085,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.301,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.485,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.667,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
