timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
1.201,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.718,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.384,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.851,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.919,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.234,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.968,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.201,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.418,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.068,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.785,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.851,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.734,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.101,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.017,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.783,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.484,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.800,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
13.717,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
14.317,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
14.550,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
14.749,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
15.083,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
