timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
1.068,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.684,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.902,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.235,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.935,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.152,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.884,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.134,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.501,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.168,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.618,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.951,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.684,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.617,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.401,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.917,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.935,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.301,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.217,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.667,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
13.417,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
14.183,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
14.717,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
