timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.117,3.2870,0.1080,0,0.0,true,1,19.5223,Free Play,0,0.3500,,Off,0.0000
0.217,3.3030,0.2127,0,0.0,true,1,19.5150,Free Play,0,0.3500,,Off,0.0000
0.317,3.3299,0.3254,0,0.0,true,1,19.4996,Free Play,0,0.3500,,Off,0.0000
0.434,3.3763,0.4745,0,0.0,true,1,19.4636,Free Play,0,0.3500,,Off,0.0000
0.551,3.4419,0.6519,0,0.0,true,1,19.3936,Free Play,0,0.3500,,Off,0.0000
0.667,3.5299,0.8667,0,0.0,false,1,19.2651,Free Play,0,0.3500,,Off,0.0000
0.768,3.6279,1.0907,0,0.0,false,1,19.0776,Free Play,0,0.3500,,Off,0.0000
0.868,3.7501,1.3577,0,0.0,false,1,18.7810,Free Play,0,0.3500,,Off,0.0000
0.902,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.234,,0.0000
0.984,3.6296,-1.2701,0,0.0,false,1,19.2813,Free Play,0,0.3500,,Off,0.0000
1.084,3.5162,-1.0078,0,0.0,false,1,19.4474,Free Play,0,0.3500,,Off,0.0000
1.184,3.4263,-0.7971,0,0.0,true,1,19.5427,Free Play,0,0.3500,,Off,0.0000
1.301,3.3451,-0.6042,0,0.0,true,1,19.6001,Free Play,0,0.3500,,Off,0.0000
1.417,3.2836,-0.4557,0,0.0,true,1,19.6250,Free Play,0,0.3500,,Off,0.0000
1.518,3.2432,-0.3555,0,0.0,true,1,19.6326,Free Play,0,0.3500,,Off,0.0000
1.634,3.2074,-0.2637,0,0.0,true,1,19.6336,Free Play,0,0.3500,,Off,0.0000
1.734,3.1842,-0.2008,0,0.0,true,1,19.6312,Free Play,0,0.3500,,Off,0.0000
1.834,3.1668,-0.1490,0,0.0,true,1,19.6280,Free Play,0,0.3500,,Off,0.0000
1.951,3.1524,-0.0993,0,0.0,true,1,19.6244,Free Play,0,0.3500,,Off,0.0000
2.066,3.1434,-0.0577,0,0.0,true,1,19.6216,Free Play,0,0.3500,,Off,0.0000
2.167,3.1392,-0.0255,0,0.0,true,1,19.6203,Free Play,0,0.3500,,Off,0.0000
2.267,3.1382,0.0046,0,0.0,true,1,19.6200,Free Play,0,0.3500,,Off,0.0000
2.384,3.1407,0.0393,0,0.0,true,1,19.6208,Free Play,0,0.3500,,Off,0.0000
2.501,3.1474,0.0758,0,0.0,true,1,19.6227,Free Play,0,0.3500,,Off,0.0000
2.601,3.1567,0.1105,0,0.0,true,1,19.6250,Free Play,0,0.3500,,Off,0.0000
2.717,3.1722,0.1570,0,0.0,true,2,19.6277,Free Play,0,0.3500,,Off,0.0000
2.817,3.1903,0.2046,0,0.0,true,2,19.6293,Free Play,0,0.3500,,Off,0.0000
2.934,3.2179,0.2718,0,0.0,true,2,19.6284,Free Play,0,0.3500,,Off,0.0000
3.051,3.2544,0.3559,0,0.0,true,2,19.6210,Free Play,0,0.3500,,Off,0.0000
3.151,3.2943,0.4452,0,0.0,true,2,19.6050,Free Play,0,0.3500,,Off,0.0000
3.267,3.3533,0.5748,0,0.0,true,2,19.5661,Free Play,0,0.3500,,Off,0.0000
3.367,3.4176,0.7137,0,0.0,true,2,19.5035,Free Play,0,0.3500,,Off,0.0000
3.484,3.5121,0.9158,0,0.0,false,2,19.3736,Free Play,0,0.3500,,Off,0.0000
3.501,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.017,,0.0000
3.584,3.3143,-1.8796,0,0.0,true,2,21.2404,Free Play,0,0.3500,,Off,0.0000
3.701,3.1032,-1.7623,0,0.0,true,2,21.1656,Free Play,0,0.3500,,Off,0.0000
