timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
1.002,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.151,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.502,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.618,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.851,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.034,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.201,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.350,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.468,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.601,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.718,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.818,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.951,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.052,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.168,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
