timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
1.251,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.118,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.768,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.602,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.217,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.968,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.918,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.735,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.601,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.100,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.451,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.552,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.833,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
