timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
1.267,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.568,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.918,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.401,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.734,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.618,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.901,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.100,0.0,0.0,-1,3.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
10.134,0.0,0.0,1,3.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
10.502,0.0,0.0,1,3.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
12.184,0.0,0.0,1,3.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
13.034,0.0,0.0,-1,3.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
13.717,0.0,0.0,-1,3.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
14.650,0.0,0.0,-1,3.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
