timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.785,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.618,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.134,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.906,3.6950,1.9313,0,0.0,false,1,20.0205,Free Play,0,0.3500,,Off,0.0000
2.984,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.079,,0.0000
3.018,3.7800,-0.7177,0,0.0,false,1,17.9454,Free Play,0,0.3500,,Off,0.0000
3.118,3.7247,-0.3875,0,0.0,false,1,18.0739,Free Play,0,0.3500,,Off,0.0000
3.234,3.7005,-0.0331,0,0.0,false,1,18.1279,Free Play,0,0.3500,,Off,0.0000
3.352,3.7170,0.3149,0,0.0,false,1,18.0897,Free Play,0,0.3500,,Off,0.0000
3.467,3.7734,0.6661,0,0.0,false,1,17.9482,Free Play,0,0.3500,,Off,0.0000
3.567,3.8567,0.9944,0,0.0,false,1,17.7112,Free Play,0,0.3500,,Off,0.0000
3.601,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.695,,0.0000
3.683,3.6991,-1.5852,0,0.0,false,1,19.3911,Free Play,0,0.3500,,Off,0.0000
3.784,3.5547,-1.2903,0,0.0,false,1,19.6273,Free Play,0,0.3500,,Off,0.0000
3.901,3.4201,-1.0303,0,0.0,true,1,19.7728,Free Play,0,0.3500,,Off,0.0000
4.017,3.3114,-0.8432,0,0.0,true,1,19.8343,Free Play,0,0.3500,,Off,0.0000
4.134,3.2211,-0.7167,0,0.0,true,1,19.8459,Free Play,0,0.3500,,Off,0.0000
4.234,3.1530,-0.6492,0,0.0,true,1,19.8301,Free Play,0,0.3500,,Off,0.0000
4.351,3.0799,-0.6128,0,0.0,true,1,19.7891,Free Play,0,0.3500,,Off,0.0000
4.451,3.0188,-0.6153,0,0.0,true,1,19.7354,Free Play,0,0.3500,,Off,0.0000
4.568,2.9448,-0.6566,0,0.0,true,1,19.6463,Free Play,0,0.3500,,Off,0.0000
4.601,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.684,3.1635,2.2736,0,0.0,true,1,22.2022,Free Play,0,0.3500,,Off,0.0000
4.801,3.4312,2.3464,0,0.0,true,1,21.9644,Free Play,0,0.3500,,Off,0.0000
4.901,3.6742,2.5283,0,0.0,false,1,21.4576,Free Play,0,0.3500,,Off,0.0000
5.001,3.9411,2.8150,0,0.0,false,1,20.6104,Free Play,0,0.3500,,Off,0.0000
5.106,4.2544,3.2101,0,0.0,false,1,19.2998,Free Play,0,0.3500,,Off,0.0000
5.217,4.6424,3.7099,0,0.0,false,1,17.3781,Free Play,0,0.3500,,Off,0.0000
5.251,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.350,,0.0000
