timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.968,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.567,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.901,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.151,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.634,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.535,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.434,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.100,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.601,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.951,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.618,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.901,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.133,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.733,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
13.050,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
13.383,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
14.984,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
15.950,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
16.334,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
16.550,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
