timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.934,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.485,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.868,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.201,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.835,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.751,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.868,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.651,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.350,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.918,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.684,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.967,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.902,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.068,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.384,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.051,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.400,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.067,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.601,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
