timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
1.185,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.869,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.151,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.818,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.018,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.017,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.168,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.984,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.718,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.950,3.4316,-1.2175,0,0.0,true,1,19.9514,Free Play,0,0.3500,,Off,0.0000
7.051,3.3186,-1.0481,0,0.0,true,1,20.0159,Free Play,0,0.3500,,Off,0.0000
7.167,3.2046,-0.9195,0,0.0,true,1,20.0233,Free Play,0,0.3500,,Off,0.0000
7.284,3.1017,-0.8560,0,0.0,true,1,19.9786,Free Play,0,0.3500,,Off,0.0000
7.384,3.0168,-0.8488,0,0.0,true,1,19.9039,Free Play,0,0.3500,,Off,0.0000
7.500,2.9159,-0.8934,0,0.0,true,1,19.7702,Free Play,0,0.3500,,Off,0.0000
7.617,2.8062,-0.9959,0,0.0,true,1,19.5693,Free Play,0,0.3500,,Off,0.0000
7.722,2.6946,-1.1402,0,0.0,false,1,19.3062,Free Play,0,0.3500,,Off,0.0000
7.818,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.096,,0.0000
7.833,2.6567,1.6355,0,0.0,false,1,19.8267,Free Play,0,0.3500,,Off,0.0000
7.934,2.8111,1.4370,0,0.0,true,1,20.1215,Free Play,0,0.3500,,Off,0.0000
8.050,2.9690,1.2981,0,0.0,true,1,20.3167,Free Play,0,0.3500,,Off,0.0000
8.151,3.0961,1.2498,0,0.0,true,1,20.3909,Free Play,0,0.3500,,Off,0.0000
8.267,3.2423,1.2732,0,0.0,true,1,20.3807,Free Play,0,0.3500,,Off,0.0000
8.384,3.3963,1.3815,0,0.0,true,1,20.2578,Free Play,0,0.3500,,Off,0.0000
