timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
1.068,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.485,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.385,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.184,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.501,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.835,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.134,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.501,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.884,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.351,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.984,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.667,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.384,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.267,3.4249,1.1238,0,0.0,true,1,19.8605,Free Play,0,0.3500,,Off,0.0000
9.350,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.384,3.4182,-1.6538,0,0.0,true,1,20.6147,Free Play,0,0.3500,,Off,0.0000
9.500,3.2369,-1.4742,0,0.0,true,1,20.6621,Free Play,0,0.3500,,Off,0.0000
9.600,3.0937,-1.4026,0,0.0,true,1,20.5924,Free Play,0,0.3500,,Off,0.0000
9.700,2.9539,-1.4020,0,0.0,true,1,20.4305,Free Play,0,0.3500,,Off,0.0000
9.805,2.8048,-1.4742,0,0.0,true,1,20.1554,Free Play,0,0.3500,,Off,0.0000
9.917,2.6309,-1.6345,0,0.0,false,1,19.7040,Free Play,0,0.3500,,Off,0.0000
9.967,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.050,,0.0000
10.033,2.6753,1.1021,0,0.0,false,1,19.1801,Free Play,0,0.3500,,Off,0.0000
10.133,2.7757,0.9117,0,0.0,false,1,19.3862,Free Play,0,0.3500,,Off,0.0000
10.250,2.8719,0.7476,0,0.0,true,1,19.5448,Free Play,0,0.3500,,Off,0.0000
10.367,2.9521,0.6360,0,0.0,true,1,19.6467,Free Play,0,0.3500,,Off,0.0000
10.483,3.0221,0.5691,0,0.0,true,1,19.7119,Free Play,0,0.3500,,Off,0.0000
10.600,3.0864,0.5421,0,0.0,true,1,19.7520,Free Play,0,0.3500,,Off,0.0000
10.700,3.1408,0.5486,0,0.0,true,1,19.7705,Free Play,0,0.3500,,Off,0.0000
10.817,3.2069,0.5907,0,0.0,true,1,19.7735,Free Play,0,0.3500,,Off,0.0000
10.933,3.2800,0.6714,0,0.0,true,1,19.7516,Free Play,0,0.3500,,Off,0.0000
11.033,3.3521,0.7750,0,0.0,true,1,19.7038,Free Play,0,0.3500,,Off,0.0000
11.150,3.4517,0.9410,0,0.0,true,1,19.5949,Free Play,0,0.3500,,Off,0.0000
11.267,3.5740,1.1640,0,0.0,false,1,19.3947,Free Play,0,0.3500,,Off,0.0000
11.300,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.033,,0.0000
11.383,3.4268,-1.5550,0,0.0,true,1,20.4328,Free Play,0,0.3500,,Off,0.0000
11.483,3.2801,-1.3897,0,0.0,true,1,20.4917,Free Play,0,0.3500,,Off,0.0000
11.600,3.1250,-1.2872,0,0.0,true,1,20.4470,Free Play,0,0.3500,,Off,0.0000
11.700,2.9976,-1.2704,0,0.0,true,1,20.3255,Free Play,0,0.3500,,Off,0.0000
11.817,2.8467,-1.3303,0,0.0,true,1,20.0815,Free Play,0,0.3500,,Off,0.0000
11.900,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.917,2.8081,1.5388,0,0.0,true,1,20.2635,Free Play,0,0.3500,,Off,0.0000
12.033,2.9784,1.3988,0,0.0,true,1,20.4680,Free Play,0,0.3500,,Off,0.0000
12.150,3.1380,1.3552,0,0.0,true,1,20.5382,Free Play,0,0.3500,,Off,0.0000
12.250,3.2752,1.3917,0,0.0,true,1,20.5010,Free Play,0,0.3500,,Off,0.0000
12.367,3.4437,1.5196,0,0.0,true,1,20.3304,Free Play,0,0.3500,,Off,0.0000
12.467,3.6049,1.7056,0,0.0,false,1,20.0404,Free Play,0,0.3500,,Off,0.0000
12.534,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.067,,0.0000
12.583,3.6210,-0.9761,0,0.0,false,1,18.9904,Free Play,0,0.3500,,Off,0.0000
12.683,3.5367,-0.7166,0,0.0,false,1,19.1210,Free Play,0,0.3500,,Off,0.0000
12.800,3.4684,-0.4615,0,0.0,true,1,19.2072,Free Play,0,0.3500,,Off,0.0000
12.917,3.4277,-0.2418,0,0.0,true,1,19.2505,Free Play,0,0.3500,,Off,0.0000
13.033,3.4112,-0.0428,0,0.0,true,1,19.2665,Free Play,0,0.3500,,Off,0.0000
13.133,3.4152,0.1215,0,0.0,true,1,19.2626,Free Play,0,0.3500,,Off,0.0000
13.233,3.4356,0.2885,0,0.0,true,1,19.2406,Free Play,0,0.3500,,Off,0.0000
13.350,3.4813,0.4971,0,0.0,true,1,19.1829,Free Play,0,0.3500,,Off,0.0000
13.467,3.5526,0.7322,0,0.0,false,1,19.0709,Free Play,0,0.3500,,Off,0.0000
13.583,3.6535,1.0069,0,0.0,false,1,18.8696,Free Play,0,0.3500,,Off,0.0000
13.633,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.167,,0.0000
13.700,3.5404,-1.6602,0,0.0,false,1,20.2283,Free Play,0,0.3500,,Off,0.0000
13.800,3.3860,-1.4407,0,0.0,true,1,20.3662,Free Play,0,0.3500,,Off,0.0000
13.900,3.2498,-1.2948,0,0.0,true,1,20.4010,Free Play,0,0.3500,,Off,0.0000
14.016,3.1047,-1.2089,0,0.0,true,1,20.3441,Free Play,0,0.3500,,Off,0.0000
14.116,2.9846,-1.2019,0,0.0,true,1,20.2217,Free Play,0,0.3500,,Off,0.0000
14.217,2.8623,-1.2541,0,0.0,true,1,20.0262,Free Play,0,0.3500,,Off,0.0000
14.316,2.7318,-1.3652,0,0.0,false,1,19.7397,Free Play,0,0.3500,,Off,0.0000
14.422,2.5800,-1.5458,0,0.0,false,1,19.3079,Free Play,0,0.3500,,Off,0.0000
14.500,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.184,,0.0000
14.533,2.5422,1.1714,0,0.0,false,1,18.5961,Free Play,0,0.3500,,Off,0.0000
14.650,2.6617,0.8849,0,0.0,false,1,18.9036,Free Play,0,0.3500,,Off,0.0000
14.750,2.7402,0.6875,0,0.0,false,1,19.0765,Free Play,0,0.3500,,Off,0.0000
14.866,2.8089,0.5025,0,0.0,true,1,19.2083,Free Play,0,0.3500,,Off,0.0000
14.966,2.8525,0.3725,0,0.0,true,1,19.2822,Free Play,0,0.3500,,Off,0.0000
15.066,2.8841,0.2629,0,0.0,true,1,19.3311,Free Play,0,0.3500,,Off,0.0000
15.183,2.9082,0.1536,0,0.0,true,1,19.3658,Free Play,0,0.3500,,Off,0.0000
15.283,2.9193,0.0699,0,0.0,true,1,19.3811,Free Play,0,0.3500,,Off,0.0000
15.400,2.9221,-0.0215,0,0.0,true,1,19.3849,Free Play,0,0.3500,,Off,0.0000
15.516,2.9143,-0.1121,0,0.0,true,1,19.3741,Free Play,0,0.3500,,Off,0.0000
15.616,2.8991,-0.1939,0,0.0,true,1,19.3517,Free Play,0,0.3500,,Off,0.0000
15.733,2.8705,-0.2992,0,0.0,true,1,19.3064,Free Play,0,0.3500,,Off,0.0000
15.750,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
15.833,3.1350,2.6106,0,0.0,true,1,23.0274,Free Play,0,0.3500,,Off,0.0000
15.950,3.4415,2.6706,0,0.0,true,1,22.7484,Free Play,0,0.3500,,Off,0.0000
16.066,3.7645,2.9003,0,0.0,false,1,21.9832,Free Play,0,0.3500,,Off,0.0000
