timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.919,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.834,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.419,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.335,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.901,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.418,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.452,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.268,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.617,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.418,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.667,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.083,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.068,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.350,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.150,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.384,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.766,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
