timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.751,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.468,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.318,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.601,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.134,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.367,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.734,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.484,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.885,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.234,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
