timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.166,2.9997,-0.0415,0,0.0,true,1,19.5223,Free Play,0,0.3500,,Off,0.0000
0.266,2.9936,-0.0810,0,0.0,true,1,19.5161,Free Play,0,0.3500,,Off,0.0000
0.382,2.9813,-0.1313,0,0.0,true,1,19.5028,Free Play,0,0.3500,,Off,0.0000
0.482,2.9657,-0.1803,0,0.0,true,1,19.4850,Free Play,0,0.3500,,Off,0.0000
0.583,2.9449,-0.2374,0,0.0,true,1,19.4590,Free Play,0,0.3500,,Off,0.0000
0.683,2.9178,-0.3049,0,0.0,true,1,19.4219,Free Play,0,0.3500,,Off,0.0000
0.783,2.8833,-0.3859,0,0.0,true,1,19.3691,Free Play,0,0.3500,,Off,0.0000
0.883,2.8400,-0.4839,0,0.0,true,1,19.2941,Free Play,0,0.3500,,Off,0.0000
0.983,2.7858,-0.6028,0,0.0,false,1,19.1873,Free Play,0,0.3500,,Off,0.0000
1.100,2.7060,-0.7741,0,0.0,false,1,19.0035,Free Play,0,0.3500,,Off,0.0000
1.200,2.6194,-0.9562,0,0.0,false,1,18.7699,Free Play,0,0.3500,,Off,0.0000
1.300,2.5131,-1.1755,0,0.0,false,1,18.4362,Free Play,0,0.3500,,Off,0.0000
1.417,2.3586,-1.4853,0,0.0,false,1,17.8665,Free Play,0,0.3500,,Off,0.0000
1.517,2.1945,-1.8021,0,0.0,false,1,17.1632,Free Play,0,0.3500,,Off,0.0000
1.633,1.9602,-2.2285,0,0.0,false,1,16.0173,Free Play,0,0.3500,,Off,0.0000
1.734,1.7173,-2.6330,0,0.0,false,1,14.7082,Free Play,0,0.3500,,Off,0.0000
