timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.783,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.483,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.916,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.352,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.799,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.116,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.483,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.301,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.799,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.150,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.600,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.883,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.717,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.150,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.582,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.299,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.816,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.066,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.649,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.833,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.466,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.667,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.582,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
14.049,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
15.116,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
15.832,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
16.482,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
17.782,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
18.365,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
19.882,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
20.465,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
21.615,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
22.215,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
22.732,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
23.265,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
23.831,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
24.431,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
25.482,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
26.081,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
27.431,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
27.964,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
30.531,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
31.814,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
32.414,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
32.497,2.5685,1.9530,0,0.0,false,2,19.9595,Free Play,0,0.3500,,Off,0.0000
32.597,2.7518,1.7163,0,0.0,false,2,20.3571,Free Play,0,0.3500,,Off,0.0000
32.714,2.9409,1.5465,0,0.0,true,2,20.6189,Free Play,0,0.3500,,Off,0.0000
32.830,3.1163,1.4827,0,0.0,true,2,20.7161,Free Play,0,0.3500,,Off,0.0000
32.947,3.2906,1.5204,0,0.0,true,2,20.6671,Free Play,0,0.3500,,Off,0.0000
33.051,3.4536,1.6383,0,0.0,true,2,20.4882,Free Play,0,0.3500,,Off,0.0000
33.164,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
33.166,3.5988,-1.1273,0,0.0,false,2,19.2479,Free Play,0,0.3500,,Off,0.0000
33.280,3.4865,-0.8468,0,0.0,true,2,19.4008,Free Play,0,0.3500,,Off,0.0000
33.380,3.4119,-0.6496,0,0.0,true,2,19.4746,Free Play,0,0.3500,,Off,0.0000
33.497,3.3475,-0.4634,0,0.0,true,2,19.5203,Free Play,0,0.3500,,Off,0.0000
33.613,3.3025,-0.3122,0,0.0,true,2,19.5420,Free Play,0,0.3500,,Off,0.0000
33.713,3.2769,-0.2022,0,0.0,true,2,19.5508,Free Play,0,0.3500,,Off,0.0000
33.830,3.2600,-0.0890,0,0.0,true,2,19.5552,Free Play,0,0.3500,,Off,0.0000
33.947,3.2558,0.0157,0,0.0,true,2,19.5562,Free Play,0,0.3500,,Off,0.0000
34.047,3.2618,0.1041,0,0.0,true,2,19.5546,Free Play,0,0.3500,,Off,0.0000
34.163,3.2802,0.2119,0,0.0,true,2,19.5484,Free Play,0,0.3500,,Off,0.0000
34.280,3.3117,0.3312,0,0.0,true,2,19.5333,Free Play,0,0.3500,,Off,0.0000
34.397,3.3582,0.4700,0,0.0,true,2,19.5012,Free Play,0,0.3500,,Off,0.0000
34.513,3.4224,0.6365,0,0.0,true,2,19.4384,Free Play,0,0.3500,,Off,0.0000
34.613,3.4944,0.8089,0,0.0,false,2,19.3428,Free Play,0,0.3500,,Off,0.0000
34.714,3.5856,1.0162,0,0.0,false,2,19.1849,Free Play,0,0.3500,,Off,0.0000
34.830,3.7207,1.3101,0,0.0,false,2,18.8788,Free Play,0,0.3500,,Off,0.0000
34.930,3.8666,1.6154,0,0.0,false,2,18.4575,Free Play,0,0.3500,,Off,0.0000
35.030,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.417,,0.0000
35.032,3.9934,-1.0085,0,0.0,false,2,16.7796,Free Play,0,0.3500,,Off,0.0000
35.147,3.9051,-0.5415,0,0.0,false,2,17.0437,Free Play,0,0.3500,,Off,0.0000
35.247,3.8700,-0.1634,0,0.0,false,2,17.1442,Free Play,0,0.3500,,Off,0.0000
35.364,3.8757,0.2609,0,0.0,false,2,17.1272,Free Play,0,0.3500,,Off,0.0000
35.464,3.9200,0.6266,0,0.0,false,2,16.9911,Free Play,0,0.3500,,Off,0.0000
35.580,4.0189,1.0727,0,0.0,false,2,16.6564,Free Play,0,0.3500,,Off,0.0000
35.647,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,1.034,,0.0000
35.697,3.9723,-1.4273,0,0.0,false,2,17.4439,Free Play,0,0.3500,,Off,0.0000
35.797,3.8500,-1.0229,0,0.0,false,2,17.7832,Free Play,0,0.3500,,Off,0.0000
35.897,3.7658,-0.6661,0,0.0,false,2,17.9918,Free Play,0,0.3500,,Off,0.0000
35.997,3.7156,-0.3429,0,0.0,false,2,18.1068,Free Play,0,0.3500,,Off,0.0000
36.113,3.6962,0.0080,0,0.0,false,2,18.1495,Free Play,0,0.3500,,Off,0.0000
36.214,3.7118,0.3029,0,0.0,false,2,18.1139,Free Play,0,0.3500,,Off,0.0000
36.330,3.7675,0.6556,0,0.0,false,2,17.9754,Free Play,0,0.3500,,Off,0.0000
36.447,3.8657,1.0357,0,0.0,false,2,17.6952,Free Play,0,0.3500,,Off,0.0000
36.564,4.0110,1.4604,0,0.0,false,2,17.2066,Free Play,0,0.3500,,Off,0.0000
36.663,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,2.050,,0.0000
36.665,4.1239,-1.1155,0,0.0,false,2,15.8776,Free Play,0,0.3500,,Off,0.0000
36.780,4.0262,-0.6004,0,0.0,false,2,16.2055,Free Play,0,0.3500,,Off,0.0000
36.880,3.9873,-0.1788,0,0.0,false,2,16.3319,Free Play,0,0.3500,,Off,0.0000
36.997,3.9940,0.2931,0,0.0,false,2,16.3093,Free Play,0,0.3500,,Off,0.0000
37.014,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,2.400,,0.0000
