timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.868,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.068,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.601,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.768,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.334,3.6893,2.1283,0,0.0,false,1,20.4499,Free Play,0,0.3500,,Off,0.0000
5.451,3.9559,2.4760,0,0.0,false,1,19.6083,Free Play,0,0.3500,,Off,0.0000
5.534,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.200,,0.0000
5.551,4.1228,-0.1248,0,0.0,false,1,15.2724,Free Play,0,0.3500,,Off,0.0000
5.651,4.1328,0.3230,0,0.0,false,1,15.2351,Free Play,0,0.3500,,Off,0.0000
5.752,4.1881,0.7741,0,0.0,false,1,15.0209,Free Play,0,0.3500,,Off,0.0000
5.867,4.3080,1.3045,0,0.0,false,1,14.5207,Free Play,0,0.3500,,Off,0.0000
5.950,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.616,,0.0000
5.984,4.3433,-1.1137,0,0.0,false,1,13.9688,Free Play,0,0.3500,,Off,0.0000
6.101,4.2482,-0.5227,0,0.0,false,1,14.3383,Free Play,0,0.3500,,Off,0.0000
6.201,4.2202,-0.0401,0,0.0,false,1,14.4464,Free Play,0,0.3500,,Off,0.0000
6.217,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.883,,0.0000
6.317,3.9001,-2.4787,0,0.0,false,1,20.0028,Free Play,0,0.3500,,Off,0.0000
6.417,3.6718,-2.1024,0,0.0,false,1,20.4831,Free Play,0,0.3500,,Off,0.0000
6.484,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,1.150,,0.0000
6.517,3.3260,-4.8109,0,0.0,true,1,31.0261,Free Play,0,0.3500,,Off,0.0000
6.617,2.8519,-4.7112,0,0.0,true,1,30.3087,Free Play,0,0.3500,,Off,0.0000
6.718,2.3742,-4.8350,0,0.0,false,1,28.5593,Free Play,0,0.3500,,Off,0.0000
6.840,1.7648,-5.2032,0,0.0,false,1,25.2383,Free Play,0,0.3500,,Off,0.0000
