timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.962,0.0,0.0,1,3.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
1.628,0.0,0.0,-1,3.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
2.128,0.0,0.0,1,3.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
3.228,0.0,0.0,1,3.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
3.544,0.0,0.0,-1,3.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
4.110,0.0,0.0,1,3.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
4.628,0.0,0.0,-1,3.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
4.928,0.0,0.0,-1,3.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
5.394,0.0,0.0,1,3.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
5.711,0.0,0.0,1,3.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
6.379,0.0,0.0,1,3.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
7.703,0.0,0.0,1,3.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
