timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
1.035,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.386,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.951,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.185,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.752,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.984,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.918,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.802,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.234,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.867,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
