timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.984,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.669,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.302,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.151,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.268,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.051,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.717,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.067,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.751,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.434,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.351,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.534,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.650,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.050,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.583,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
