timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.134,2.9995,-0.0434,0,0.0,true,1,19.5221,Free Play,0,0.3500,,Helper,0.0000
0.262,2.9920,-0.0885,0,0.0,true,1,19.5144,Free Play,0,0.3500,,Helper,0.0000
0.366,2.9874,0.0032,0,0.0,true,1,19.5036,Free Play,0,0.3500,,Helper,0.0275
0.467,2.9946,0.0950,0,0.0,true,1,19.5187,Free Play,0,0.3500,,Helper,0.0000
0.567,3.0020,0.0536,0,0.0,true,1,19.5260,Free Play,0,0.3500,,Helper,0.0000
0.683,3.0056,0.0096,0,0.0,true,1,19.5295,Free Play,0,0.3500,,Helper,0.0000
0.785,3.0047,-0.0273,0,0.0,true,1,19.5286,Free Play,0,0.3500,,Helper,0.0000
0.901,2.9991,-0.0701,0,0.0,true,1,19.5230,Free Play,0,0.3500,,Helper,0.0000
1.001,2.9901,-0.1102,0,0.0,true,1,19.5137,Free Play,0,0.3500,,Helper,0.0275
1.150,2.9867,0.0320,0,0.0,true,1,19.5030,Free Play,0,0.3500,,Helper,0.0275
1.251,2.9959,0.0961,0,0.0,true,1,19.5207,Free Play,0,0.3500,,Helper,0.0000
1.367,3.0043,0.0492,0,0.0,true,1,19.5289,Free Play,0,0.3500,,Helper,0.0000
1.483,3.0075,0.0065,0,0.0,true,1,19.5319,Free Play,0,0.3500,,Helper,0.0000
1.600,3.0058,-0.0348,0,0.0,true,2,19.5303,Free Play,0,0.3500,,Helper,0.0000
1.700,3.0005,-0.0713,0,0.0,true,2,19.5251,Free Play,0,0.3500,,Helper,0.0000
1.801,2.9914,-0.1108,0,0.0,true,2,19.5157,Free Play,0,0.3500,,Helper,0.0275
1.901,2.9878,0.0100,0,0.0,true,2,19.5042,Free Play,0,0.3500,,Helper,0.0275
2.050,2.9967,0.0965,0,0.0,true,2,19.5218,Free Play,0,0.3500,,Helper,0.0000
2.150,3.0043,0.0560,0,0.0,true,2,19.5292,Free Play,0,0.3500,,Helper,0.0000
2.251,3.0080,0.0191,0,0.0,true,2,19.5328,Free Play,0,0.3500,,Helper,0.0000
2.367,3.0079,-0.0217,0,0.0,true,2,19.5326,Free Play,0,0.3500,,Helper,0.0000
2.484,3.0029,-0.0631,0,0.0,true,2,19.5278,Free Play,0,0.3500,,Helper,0.0000
2.584,2.9947,-0.1012,0,0.0,true,2,19.5195,Free Play,0,0.3500,,Helper,0.0000
2.684,2.9871,-0.0339,0,0.0,true,2,19.5037,Free Play,0,0.3500,,Helper,0.0275
2.824,2.9907,0.0846,0,0.0,true,2,19.5121,Free Play,0,0.3500,,Helper,0.0275
2.934,3.0003,0.0649,0,0.0,true,2,19.5244,Free Play,0,0.3500,,Helper,0.0000
3.034,3.0049,0.0262,0,0.0,true,2,19.5288,Free Play,0,0.3500,,Helper,0.0000
3.134,3.0056,-0.0106,0,0.0,true,3,19.5295,Free Play,0,0.3500,,Helper,0.0000
3.251,3.0019,-0.0531,0,0.0,true,3,19.5259,Free Play,0,0.3500,,Helper,0.0000
3.351,2.9947,-0.0917,0,0.0,true,3,19.5185,Free Play,0,0.3500,,Helper,0.0000
3.509,2.9860,-0.0350,0,0.0,true,3,19.5021,Free Play,0,0.3500,,Helper,0.0275
3.661,2.9923,0.0715,0,0.0,true,3,19.5134,Free Play,0,0.3500,,Helper,0.0000
3.766,2.9974,0.0266,0,0.0,true,3,19.5186,Free Play,0,0.3500,,Helper,0.0000
3.867,2.9981,-0.0140,0,0.0,true,3,19.5192,Free Play,0,0.3500,,Helper,0.0000
