timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.117,3.0537,-0.0123,0,0.0,true,1,19.5822,Timed,0,0.3500,,Off,0.0000
0.254,3.0519,-0.0249,0,0.0,true,1,19.5808,Timed,0,0.3500,,Off,0.0000
0.367,3.0482,-0.0402,0,0.0,true,1,19.5781,Timed,0,0.3500,,Off,0.0000
0.467,3.0434,-0.0556,0,0.0,true,1,19.5743,Timed,0,0.3500,,Off,0.0000
0.567,3.0370,-0.0736,0,0.0,true,1,19.5691,Timed,0,0.3500,,Off,0.0000
0.684,3.0270,-0.0987,0,0.0,true,1,19.5605,Timed,0,0.3500,,Off,0.0000
0.801,3.0137,-0.1298,0,0.0,true,1,19.5483,Timed,0,0.3500,,Off,0.0000
0.901,2.9991,-0.1629,0,0.0,true,1,19.5339,Timed,0,0.3500,,Off,0.0000
1.002,2.9808,-0.2035,0,0.0,true,1,19.5141,Timed,0,0.3500,,Off,0.0000
1.172,2.9493,-0.2719,0,0.0,true,1,19.4762,Timed,0,0.3500,,Off,0.0000
1.284,2.9147,-0.3464,0,0.0,true,1,19.4286,Timed,0,0.3500,,Off,0.0000
1.384,2.8761,-0.4289,0,0.0,true,1,19.3682,Timed,0,0.3500,,Off,0.0000
1.484,2.8282,-0.5306,0,0.0,true,1,19.2829,Timed,0,0.3500,,Off,0.0000
1.617,2.7690,-0.6555,0,0.0,false,2,19.1617,Timed,0,0.3500,,Off,0.0000
1.717,2.6960,-0.8081,0,0.0,false,2,18.9888,Timed,0,0.3500,,Off,0.0000
1.817,2.6061,-0.9941,0,0.0,false,2,18.7411,Timed,0,0.3500,,Off,0.0000
1.964,2.4746,-1.2614,0,0.0,false,2,18.3134,Timed,0,0.3500,,Off,0.0000
2.067,2.3301,-1.5476,0,0.0,false,2,17.7609,Timed,0,0.3500,,Off,0.0000
2.200,2.1593,-1.8732,0,0.0,false,2,17.0103,Timed,0,0.3500,,Off,0.0000
2.300,1.9537,-2.2440,0,0.0,false,2,15.9931,Timed,0,0.3500,,Off,0.0000
2.417,1.6646,-2.7183,0,0.0,false,2,14.4240,Timed,0,0.3500,,Off,0.0000
