timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.134,3.2339,0.0866,0,0.0,true,1,19.5820,Timed,0,0.3500,,Off,0.0000
0.267,3.2469,0.1669,0,0.0,true,1,19.5796,Timed,0,0.3500,,Off,0.0000
0.367,3.2677,0.2516,0,0.0,true,1,19.5737,Timed,0,0.3500,,Off,0.0000
0.467,3.2976,0.3473,0,0.0,true,1,19.5611,Timed,0,0.3500,,Off,0.0000
0.568,3.3379,0.4582,0,0.0,true,1,19.5366,Timed,0,0.3500,,Off,0.0000
0.684,3.3999,0.6129,0,0.0,true,1,19.4823,Timed,0,0.3500,,Off,0.0000
0.784,3.4692,0.7747,0,0.0,true,1,19.3983,Timed,0,0.3500,,Off,0.0000
0.889,3.5602,0.9784,0,0.0,false,1,19.2518,Timed,0,0.3500,,Off,0.0000
1.033,3.6713,1.2191,0,0.0,false,1,19.0189,Timed,0,0.3500,,Off,0.0000
1.174,3.8374,1.5667,0,0.0,false,1,18.5668,Timed,0,0.3500,,Off,0.0000
1.283,4.0160,1.9253,0,0.0,false,1,17.9562,Timed,0,0.3500,,Off,0.0000
1.383,4.2286,2.3303,0,0.0,false,1,17.0884,Timed,0,0.3500,,Off,0.0000
1.484,4.4857,2.7839,0,0.0,false,1,15.8894,Timed,0,0.3500,,Off,0.0000
