timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.118,3.2331,0.0798,0,0.0,true,1,19.5821,Progressive,0,0.3500,,Off,0.0000
0.234,3.2476,0.1703,0,0.0,true,1,19.5795,Progressive,0,0.3500,,Off,0.0000
0.334,3.2689,0.2557,0,0.0,true,1,19.5733,Progressive,0,0.3500,,Off,0.0000
0.452,3.3054,0.3698,0,0.0,true,1,19.5570,Progressive,0,0.3500,,Off,0.0000
0.568,3.3559,0.5047,0,0.0,true,1,19.5229,Progressive,0,0.3500,,Off,0.0000
0.684,3.4241,0.6703,0,0.0,true,1,19.4557,Progressive,0,0.3500,,Off,0.0000
0.700,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
0.785,3.3997,-0.1600,0,0.0,true,1,19.3079,Progressive,0,0.3500,,Off,0.0000
0.901,3.3918,0.0238,0,0.0,true,1,19.3147,Progressive,0,0.3500,,Off,0.0000
1.001,3.4020,0.1791,0,0.0,true,1,19.3054,Progressive,0,0.3500,,Off,0.0000
1.120,3.4344,0.3709,0,0.0,true,1,19.2711,Progressive,0,0.3500,,Off,0.0000
1.234,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
1.236,3.4710,-0.4182,0,0.0,true,1,19.1800,Progressive,0,0.3500,,Off,0.0000
1.351,3.4357,-0.1998,0,0.0,true,1,19.2186,Progressive,0,0.3500,,Off,0.0000
1.451,3.4246,-0.0244,0,0.0,true,1,19.2301,Progressive,0,0.3500,,Off,0.0000
1.517,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
2.053,3.3794,-0.8467,0,0.0,true,2,19.7025,Progressive,0,0.3500,,Off,0.0000
2.117,0.0,0.0,1,1.00,false,2,,Progressive,0,0.3500,0.000,,0.0000
2.167,3.2257,-1.6811,0,0.0,true,2,20.9984,Progressive,0,0.3500,,Off,0.0000
2.268,3.0600,-1.6159,0,0.0,true,2,20.8929,Progressive,0,0.3500,,Off,0.0000
2.368,2.8978,-1.6331,0,0.0,true,2,20.6635,Progressive,0,0.3500,,Off,0.0000
2.485,2.7019,-1.7517,0,0.0,false,2,20.2211,Progressive,0,0.3500,,Off,0.0000
2.585,2.5181,-1.9365,0,0.0,false,2,19.6491,Progressive,0,0.3500,,Off,0.0000
2.685,2.3115,-2.1963,0,0.0,false,2,18.8418,Progressive,0,0.3500,,Off,0.0000
2.801,2.0344,-2.5830,0,0.0,false,2,17.5326,Progressive,0,0.3500,,Off,0.0000
2.901,1.7569,-2.9715,0,0.0,false,2,16.0403,Progressive,0,0.3500,,Off,0.0000
