timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime
0.034,3.2816,0.0256,0,0.0,true,1,11.3357,Random,0,0.3500,
0.151,3.2900,0.1175,0,0.0,true,1,11.3324,Random,0,0.3500,
0.268,3.3091,0.2118,0,0.0,true,1,11.3236,Random,0,0.3500,
0.384,3.3397,0.3131,0,0.0,true,1,11.3062,Random,0,0.3500,
0.501,3.3823,0.4253,0,0.0,true,1,11.2755,Random,0,0.3500,
0.550,0.0,0.0,1,1.00,false,1,,Random,0,0.3500,0.000
0.601,3.3643,-0.4505,0,0.0,true,1,11.3051,Random,0,0.3500,
0.701,3.3252,-0.3340,0,0.0,true,1,11.3255,Random,0,0.3500,
0.818,3.2932,-0.2183,0,0.0,true,1,11.3388,Random,0,0.3500,
0.918,3.2757,-0.1315,0,0.0,true,1,11.3448,Random,0,0.3500,
1.035,3.2658,-0.0400,0,0.0,true,1,11.3479,Random,0,0.3500,
1.135,3.2655,0.0339,0,0.0,true,1,11.3479,Random,0,0.3500,
1.251,3.2744,0.1186,0,0.0,true,1,11.3449,Random,0,0.3500,
1.368,3.2933,0.2062,0,0.0,true,1,11.3373,Random,0,0.3500,
1.483,0.0,0.0,1,1.00,false,1,,Random,0,0.3500,0.000
1.485,3.3053,-0.6938,0,0.0,true,1,11.4441,Random,0,0.3500,
1.600,3.2318,-0.5825,0,0.0,true,1,11.4591,Random,0,0.3500,
1.700,3.1771,-0.5132,0,0.0,true,1,11.4583,Random,0,0.3500,
1.817,3.1208,-0.4596,0,0.0,true,1,11.4467,Random,0,0.3500,
1.918,3.0759,-0.4338,0,0.0,true,1,11.4295,Random,0,0.3500,
2.034,3.0263,-0.4288,0,0.0,true,2,17.8271,Random,0,0.3500,
2.137,2.9802,-0.4657,0,0.0,true,2,17.7822,Random,0,0.3500,
2.233,0.0,0.0,-1,1.00,false,2,,Random,0,0.3500,0.000
2.250,2.9563,0.4605,0,0.0,true,2,17.7437,Random,0,0.3500,
2.351,2.9990,0.3905,0,0.0,true,2,17.7848,Random,0,0.3500,
2.468,3.0412,0.3374,0,0.0,true,2,17.8166,Random,0,0.3500,
2.584,3.0787,0.3096,0,0.0,true,2,17.8375,Random,0,0.3500,
2.685,3.1093,0.3041,0,0.0,true,2,17.8493,Random,0,0.3500,
2.785,3.1401,0.3146,0,0.0,true,2,17.8562,Random,0,0.3500,
2.901,3.1785,0.3477,0,0.0,true,2,17.8579,Random,0,0.3500,
3.018,3.2221,0.4047,0,0.0,true,2,17.8503,Random,0,0.3500,
3.051,0.0,0.0,1,1.00,false,2,,Random,0,0.3500,0.000
3.118,3.1827,-0.5237,0,0.0,true,2,17.9108,Random,0,0.3500,
3.235,3.1250,-0.4715,0,0.0,true,2,17.8987,Random,0,0.3500,
3.335,3.0788,-0.4548,0,0.0,true,2,17.8769,Random,0,0.3500,
3.451,3.0255,-0.4660,0,0.0,true,2,17.8382,Random,0,0.3500,
3.551,2.9773,-0.5018,0,0.0,true,2,17.7904,Random,0,0.3500,
3.667,2.9153,-0.5748,0,0.0,true,2,17.7110,Random,0,0.3500,
3.734,0.0,0.0,-1,1.00,false,2,,Random,0,0.3500,0.000
3.784,2.9074,0.3085,0,0.0,true,2,17.6117,Random,0,0.3500,
3.901,2.9368,0.1990,0,0.0,true,2,17.6490,Random,0,0.3500,
4.018,2.9545,0.1063,0,0.0,true,2,17.6697,Random,0,0.3500,
4.118,2.9626,0.0730,0,0.0,true,3,23.8821,Random,0,0.3500,
4.234,2.9842,0.3025,0,0.0,true,3,23.9774,Random,0,0.3500,
4.351,3.0534,0.8490,0,0.0,true,3,24.4574,Random,0,0.3500,
4.451,3.1795,1.5854,0,0.0,true,3,25.5726,Random,0,0.3500,
4.568,3.4400,2.7909,0,0.0,true,3,28.2185,Random,0,0.3500,
4.684,3.8677,4.4127,0,0.0,false,3,32.7327,Random,0,0.3500,
4.785,4.4080,6.1379,0,0.0,false,3,38.2749,Random,0,0.3500,
