timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.767,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
1.201,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
1.550,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
1.800,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
2.500,3.3742,0.2684,0,0.0,true,1,19.3918,Progressive,0,0.3500,,Off,0.0000
2.584,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
2.600,3.3756,-0.5799,0,0.0,true,1,19.5207,Progressive,0,0.3500,,Off,0.0000
2.701,3.3248,-0.4343,0,0.0,true,1,19.5501,Progressive,0,0.3500,,Off,0.0000
2.817,3.2825,-0.2959,0,0.0,true,1,19.5665,Progressive,0,0.3500,,Off,0.0000
2.934,3.2549,-0.1801,0,0.0,true,1,19.5733,Progressive,0,0.3500,,Off,0.0000
3.051,3.2399,-0.0795,0,0.0,true,1,19.5758,Progressive,0,0.3500,,Off,0.0000
3.168,3.2361,0.0136,0,0.0,true,1,19.5763,Progressive,0,0.3500,,Off,0.0000
3.284,3.2430,0.1055,0,0.0,true,1,19.5752,Progressive,0,0.3500,,Off,0.0000
3.400,3.2607,0.2016,0,0.0,true,2,19.5708,Progressive,0,0.3500,,Off,0.0000
3.501,3.2858,0.2946,0,0.0,true,2,19.5616,Progressive,0,0.3500,,Off,0.0000
3.604,3.3211,0.4012,0,0.0,true,2,19.5429,Progressive,0,0.3500,,Off,0.0000
3.718,3.3752,0.5438,0,0.0,true,2,19.5015,Progressive,0,0.3500,,Off,0.0000
3.767,0.0,0.0,1,1.00,false,2,,Progressive,0,0.3500,0.000,,0.0000
3.834,3.3651,-0.2806,0,0.0,true,2,19.4154,Progressive,0,0.3500,,Off,0.0000
3.934,3.3441,-0.1395,0,0.0,true,2,19.4292,Progressive,0,0.3500,,Off,0.0000
4.051,3.3368,0.0129,0,0.0,true,2,19.4337,Progressive,0,0.3500,,Off,0.0000
4.117,0.0,0.0,1,1.00,false,2,,Progressive,0,0.3500,0.000,,0.0000
4.151,3.2948,-0.8547,0,0.0,true,2,19.8704,Progressive,0,0.3500,,Off,0.0000
4.268,3.2024,-0.7379,0,0.0,true,2,19.8741,Progressive,0,0.3500,,Off,0.0000
4.384,3.1207,-0.6736,0,0.0,true,2,19.8447,Progressive,0,0.3500,,Off,0.0000
4.501,3.0435,-0.6564,0,0.0,true,2,19.7883,Progressive,0,0.3500,,Off,0.0000
4.618,2.9657,-0.6838,0,0.0,true,2,19.7025,Progressive,0,0.3500,,Off,0.0000
4.734,2.8822,-0.7560,0,0.0,true,2,19.5777,Progressive,0,0.3500,,Off,0.0000
4.851,2.7875,-0.8761,0,0.0,false,2,19.3952,Progressive,0,0.3500,,Off,0.0000
4.951,2.6929,-1.0209,0,0.0,false,2,19.1701,Progressive,0,0.3500,,Off,0.0000
5.070,2.5583,-1.2497,0,0.0,false,2,18.7787,Progressive,0,0.3500,,Off,0.0000
5.184,0.0,0.0,-1,1.00,false,2,,Progressive,0,0.3500,0.333,,0.0000
5.186,2.4167,-0.5408,0,0.0,false,2,17.2994,Progressive,0,0.3500,,Off,0.0000
5.287,2.3472,-0.8422,0,0.0,false,2,17.0385,Progressive,0,0.3500,,Off,0.0000
5.384,0.0,0.0,-1,1.00,false,2,,Progressive,0,0.3500,0.533,,0.0000
5.401,2.2641,-0.2168,0,0.0,false,2,16.1028,Progressive,0,0.3500,,Off,0.0000
5.501,2.2247,-0.5698,0,0.0,false,2,15.9397,Progressive,0,0.3500,,Off,0.0000
5.567,0.0,0.0,-1,1.00,false,2,,Progressive,0,0.3500,0.716,,0.0000
5.604,2.1999,0.0520,0,0.0,false,2,15.5835,Progressive,0,0.3500,,Off,0.0000
