timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime
0.117,2.9994,-0.0488,0,0.0,true,1,23.9512,Free Play,0,0.3500,
0.218,2.9921,-0.0968,0,0.0,true,1,23.9426,Free Play,0,0.3500,
0.333,2.9775,-0.1571,0,0.0,true,1,23.9244,Free Play,0,0.3500,
0.435,2.9585,-0.2182,0,0.0,true,1,23.8988,Free Play,0,0.3500,
0.551,2.9284,-0.3020,0,0.0,true,1,23.8535,Free Play,0,0.3500,
0.667,2.8875,-0.4054,0,0.0,true,1,23.7837,Free Play,0,0.3500,
0.784,2.8329,-0.5361,0,0.0,true,1,23.6751,Free Play,0,0.3500,
0.817,0.0,0.0,-1,1.00,false,1,,Free Play,0,0.3500,0.000
0.884,2.8557,0.3241,0,0.0,true,1,23.6459,Free Play,0,0.3500,
1.001,2.8850,0.1811,0,0.0,true,1,23.6968,Free Play,0,0.3500,
1.117,2.8986,0.0551,0,0.0,true,1,23.7196,Free Play,0,0.3500,
1.217,2.8990,-0.0470,0,0.0,true,1,23.7202,Free Play,0,0.3500,
1.334,2.8866,-0.1666,0,0.0,true,1,23.6988,Free Play,0,0.3500,
1.434,2.8645,-0.2762,0,0.0,true,1,23.6581,Free Play,0,0.3500,
1.535,2.8307,-0.3939,0,0.0,true,2,19.2274,Free Play,0,0.3500,
1.634,0.0,0.0,-1,1.00,false,2,,Free Play,0,0.3500,0.000
1.636,2.8034,0.4787,0,0.0,true,2,19.1789,Free Play,0,0.3500,
1.751,2.8496,0.3275,0,0.0,true,2,19.2585,Free Play,0,0.3500,
1.867,2.8800,0.1998,0,0.0,true,2,19.3063,Free Play,0,0.3500,
1.984,2.8967,0.0875,0,0.0,true,2,19.3310,Free Play,0,0.3500,
2.084,2.9009,-0.0020,0,0.0,true,2,19.3372,Free Play,0,0.3500,
2.200,2.8947,-0.1044,0,0.0,true,2,19.3280,Free Play,0,0.3500,
2.300,0.0,0.0,-1,1.00,false,2,,Free Play,0,0.3500,0.000
2.302,2.8975,0.8001,0,0.0,true,2,19.6492,Free Play,0,0.3500,
2.417,2.9836,0.7045,0,0.0,true,2,19.7460,Free Play,0,0.3500,
2.534,3.0625,0.6566,0,0.0,true,2,19.8049,Free Play,0,0.3500,
2.634,3.1278,0.6518,0,0.0,true,2,19.8315,Free Play,0,0.3500,
2.750,3.2053,0.6872,0,0.0,true,2,19.8362,Free Play,0,0.3500,
2.853,3.2789,0.7557,0,0.0,true,2,19.8133,Free Play,0,0.3500,
2.950,0.0,0.0,1,1.00,false,2,,Free Play,0,0.3500,0.000
2.966,3.3387,-0.1203,0,0.0,true,2,19.4373,Free Play,0,0.3500,
