timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime
0.100,3.2861,0.0990,0,0.0,true,1,19.5227,Progressive,0,0.3500,
0.200,3.3011,0.2028,0,0.0,true,1,19.5160,Progressive,0,0.3500,
0.301,3.3271,0.3153,0,0.0,true,1,19.5014,Progressive,0,0.3500,
0.417,3.3720,0.4618,0,0.0,true,1,19.4675,Progressive,0,0.3500,
0.517,3.4253,0.6092,0,0.0,true,1,19.4133,Progressive,0,0.3500,
0.634,3.5080,0.8148,0,0.0,false,1,19.3007,Progressive,0,0.3500,
0.735,3.6001,1.0282,0,0.0,false,1,19.1355,Progressive,0,0.3500,
0.854,3.7407,1.3376,0,0.0,false,1,18.8061,Progressive,0,0.3500,
0.950,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.316
0.967,3.8790,0.6996,0,0.0,false,1,17.3160,Progressive,0,0.3500,
1.084,3.9857,1.1301,0,0.0,false,1,16.9665,Progressive,0,0.3500,
1.100,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.466
1.200,4.0280,0.6001,0,0.0,false,1,16.1917,Progressive,0,0.3500,
1.250,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.616
1.300,4.0423,0.0231,0,0.0,false,1,15.9026,Progressive,0,0.3500,
1.417,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.783
1.419,4.0559,-0.4695,0,0.0,false,1,15.9074,Progressive,0,0.3500,
1.534,4.0304,0.0224,0,0.0,false,1,15.9935,Progressive,0,0.3500,
1.568,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.933
1.634,3.9708,-0.5531,0,0.0,false,1,16.5889,Progressive,0,0.3500,
1.718,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,1.083
1.751,3.8840,-1.0815,0,0.0,false,1,17.6231,Progressive,0,0.3500,
1.851,3.7947,-0.7112,0,0.0,false,1,17.8541,Progressive,0,0.3500,
1.867,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,1.233
1.951,3.6407,-1.3772,0,0.0,false,1,19.3715,Progressive,0,0.3500,
2.068,3.4988,-1.0716,0,0.0,false,1,19.5748,Progressive,0,0.3500,
2.168,3.4020,-0.8692,0,0.0,true,1,19.6669,Progressive,0,0.3500,
2.201,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.000
2.268,3.2396,-1.7131,0,0.0,true,1,21.0403,Progressive,0,0.3500,
2.384,3.0471,-1.6377,0,0.0,true,1,20.9173,Progressive,0,0.3500,
2.501,2.8539,-1.6734,0,0.0,true,1,20.6170,Progressive,0,0.3500,
2.534,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,0.000
2.620,2.7500,-0.8168,0,0.0,false,1,19.2108,Progressive,0,0.3500,
2.734,2.6463,-1.0048,0,0.0,false,1,18.9460,Progressive,0,0.3500,
2.851,2.5149,-1.2521,0,0.0,false,1,18.5398,Progressive,0,0.3500,
2.868,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,0.248
2.968,2.4679,-0.5580,0,0.0,false,1,17.6324,Progressive,0,0.3500,
3.068,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,0.447
3.070,2.4154,0.1533,0,0.0,false,1,17.1567,Progressive,0,0.3500,
3.184,2.4132,-0.1908,0,0.0,false,1,17.1487,Progressive,0,0.3500,
3.284,2.3790,-0.4923,0,0.0,false,1,17.0244,Progressive,0,0.3500,
3.351,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,0.731
3.385,2.3639,0.1894,0,0.0,false,1,16.8182,Progressive,0,0.3500,
3.501,2.3642,-0.1827,0,0.0,false,1,16.8190,Progressive,0,0.3500,
3.535,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,0.914
3.604,2.4144,0.4864,0,0.0,false,1,17.2566,Progressive,0,0.3500,
3.684,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,1.064
3.718,2.5000,1.1387,0,0.0,false,1,18.3178,Progressive,0,0.3500,
3.834,2.6140,0.8327,0,0.0,false,1,18.6325,Progressive,0,0.3500,
3.850,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,1.230
3.934,2.7865,1.6159,0,0.0,false,1,20.3137,Progressive,0,0.3500,
4.051,2.9655,1.4643,0,0.0,true,1,20.5403,Progressive,0,0.3500,
4.168,3.1320,1.4139,0,0.0,true,1,20.6191,Progressive,0,0.3500,
4.268,3.2748,1.4476,0,0.0,true,1,20.5809,Progressive,0,0.3500,
4.301,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.000
4.371,3.3182,0.1963,0,0.0,true,1,19.4867,Progressive,0,0.3500,
4.484,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.000
4.486,3.3301,-0.6615,0,0.0,true,1,19.6650,Progressive,0,0.3500,
4.601,3.2623,-0.5239,0,0.0,true,1,19.6858,Progressive,0,0.3500,
4.651,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.000
4.718,3.1243,-1.4233,0,0.0,true,1,20.6314,Progressive,0,0.3500,
4.818,2.9832,-1.4076,0,0.0,true,1,20.4879,Progressive,0,0.3500,
4.935,2.8160,-1.4769,0,0.0,true,1,20.1950,Progressive,0,0.3500,
5.038,2.6574,-1.6151,0,0.0,false,1,19.7968,Progressive,0,0.3500,
5.151,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,0.113
5.153,2.4755,-0.8598,0,0.0,false,1,17.8927,Progressive,0,0.3500,
5.268,2.3591,-1.1797,0,0.0,false,1,17.4625,Progressive,0,0.3500,
5.301,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,0.263
5.387,2.2977,-0.5650,0,0.0,false,1,16.4891,Progressive,0,0.3500,
5.484,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,0.446
5.501,2.2441,0.0395,0,0.0,false,1,15.9282,Progressive,0,0.3500,
5.601,2.2300,-0.3205,0,0.0,false,1,15.8701,Progressive,0,0.3500,
5.651,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,0.613
5.718,2.2512,0.2508,0,0.0,false,1,16.0132,Progressive,0,0.3500,
5.818,2.2583,-0.1079,0,0.0,false,1,16.0414,Progressive,0,0.3500,
5.851,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,0.813
5.934,2.3213,0.4752,0,0.0,false,1,16.6133,Progressive,0,0.3500,
6.051,2.3538,0.0840,0,0.0,false,1,16.7337,Progressive,0,0.3500,
6.184,2.3427,-0.2808,0,0.0,false,1,16.6916,Progressive,0,0.3500,
6.201,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,1.163
6.284,2.3980,0.3909,0,0.0,false,1,17.1067,Progressive,0,0.3500,
6.385,2.4216,0.0829,0,0.0,false,1,17.1885,Progressive,0,0.3500,
6.501,2.4110,-0.2644,0,0.0,false,1,17.1510,Progressive,0,0.3500,
6.534,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,1.497
6.618,2.4592,0.3812,0,0.0,false,1,17.4958,Progressive,0,0.3500,
6.735,2.4842,0.0510,0,0.0,false,1,17.5770,Progressive,0,0.3500,
6.851,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,1.813
6.852,2.4892,0.7253,0,0.0,false,1,17.8682,Progressive,0,0.3500,
6.967,2.5542,0.4160,0,0.0,false,1,18.0623,Progressive,0,0.3500,
7.067,2.5834,0.1708,0,0.0,false,1,18.1457,Progressive,0,0.3500,
7.167,2.5888,-0.0623,0,0.0,false,1,18.1608,Progressive,0,0.3500,
7.217,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,2.179
7.284,2.6489,0.6661,0,0.0,false,1,18.6752,Progressive,0,0.3500,
7.400,2.7126,0.4315,0,0.0,false,1,18.8240,Progressive,0,0.3500,
7.501,2.7470,0.2546,0,0.0,false,1,18.8986,Progressive,0,0.3500,
7.618,2.7658,0.0690,0,0.0,false,1,18.9377,Progressive,0,0.3500,
7.718,2.7650,-0.0828,0,0.0,false,1,18.9361,Progressive,0,0.3500,
7.818,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,2.780
7.820,2.7670,0.7589,0,0.0,false,1,19.2278,Progressive,0,0.3500,
7.934,2.8441,0.5909,0,0.0,true,1,19.3636,Progressive,0,0.3500,
8.035,2.8973,0.4782,0,0.0,true,1,19.4431,Progressive,0,0.3500,
