timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.132,3.2873,0.1110,0,0.0,true,1,19.5222,Free Play,0,0.3500,,Off,0.0000
0.232,3.3036,0.2154,0,0.0,true,1,19.5148,Free Play,0,0.3500,,Off,0.0000
0.348,3.3363,0.3484,0,0.0,true,1,19.4953,Free Play,0,0.3500,,Off,0.0000
0.465,3.3856,0.5014,0,0.0,true,1,19.4550,Free Play,0,0.3500,,Off,0.0000
0.581,3.4540,0.6828,0,0.0,true,1,19.3781,Free Play,0,0.3500,,Off,0.0000
0.682,3.5321,0.8717,0,0.0,false,1,19.2615,Free Play,0,0.3500,,Off,0.0000
0.699,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.017,,0.0000
0.782,3.5303,0.0930,0,0.0,false,1,18.8924,Free Play,0,0.3500,,Off,0.0000
0.898,3.5561,0.3513,0,0.0,false,1,18.8508,Free Play,0,0.3500,,Off,0.0000
0.998,3.6028,0.5850,0,0.0,false,1,18.7659,Free Play,0,0.3500,,Off,0.0000
1.031,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.350,,0.0000
1.115,3.5886,-0.1169,0,0.0,false,1,18.6631,Free Play,0,0.3500,,Off,0.0000
1.215,3.5893,0.1301,0,0.0,false,1,18.6618,Free Play,0,0.3500,,Off,0.0000
1.315,3.6147,0.3784,0,0.0,false,1,18.6142,Free Play,0,0.3500,,Off,0.0000
1.382,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.700,,0.0000
1.432,3.6102,-0.3132,0,0.0,false,1,18.6113,Free Play,0,0.3500,,Off,0.0000
1.535,3.5917,-0.0505,0,0.0,false,1,18.6442,Free Play,0,0.3500,,Off,0.0000
1.648,3.6021,0.2326,0,0.0,false,1,18.6252,Free Play,0,0.3500,,Off,0.0000
1.665,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.983,,0.0000
1.765,3.5297,-0.4764,0,0.0,false,1,19.0038,Free Play,0,0.3500,,Off,0.0000
1.882,3.4893,-0.2237,0,0.0,true,1,19.0580,Free Play,0,0.3500,,Off,0.0000
1.932,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.998,3.3941,-0.9901,0,0.0,true,1,19.7992,Free Play,0,0.3500,,Off,0.0000
2.099,3.3028,-0.8379,0,0.0,true,1,19.8439,Free Play,0,0.3500,,Off,0.0000
2.215,3.2128,-0.7165,0,0.0,true,1,19.8518,Free Play,0,0.3500,,Off,0.0000
2.315,3.1446,-0.6531,0,0.0,true,1,19.8332,Free Play,0,0.3500,,Off,0.0000
2.432,3.0706,-0.6216,0,0.0,true,1,19.7885,Free Play,0,0.3500,,Off,0.0000
2.549,2.9979,-0.6329,0,0.0,true,1,19.7192,Free Play,0,0.3500,,Off,0.0000
2.648,0.0,0.0,-1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.650,2.9499,0.3201,0,0.0,true,1,19.4916,Free Play,0,0.3500,,Off,0.0000
2.765,2.9825,0.2497,0,0.0,true,1,19.5272,Free Play,0,0.3500,,Off,0.0000
2.865,3.0050,0.2031,0,0.0,true,1,19.5492,Free Play,0,0.3500,,Off,0.0000
2.965,3.0234,0.1674,0,0.0,true,1,19.5656,Free Play,0,0.3500,,Off,0.0000
3.065,3.0388,0.1406,0,0.0,true,1,19.5781,Free Play,0,0.3500,,Off,0.0000
3.182,3.0538,0.1188,0,0.0,true,1,19.5893,Free Play,0,0.3500,,Off,0.0000
3.282,3.0651,0.1070,0,0.0,true,1,19.5970,Free Play,0,0.3500,,Off,0.0000
