timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime
1.667,0.0,0.0,-1,1.00,false,1,,Jiggle,0,0.3500,0.000
1.817,0.0,0.0,-1,1.00,false,1,,Jiggle,0,0.3500,0.000
1.967,0.0,0.0,-1,1.00,false,1,,Jiggle,0,0.3500,0.000
2.267,0.0,0.0,-1,1.00,false,1,,Jiggle,0,0.3500,0.000
2.301,2.1318,0.4937,0,0.0,false,1,15.1508,Jiggle,0,0.3500,
2.417,0.0,0.0,-1,1.00,false,1,,Jiggle,0,0.3500,0.116
2.419,2.1609,0.8207,0,0.0,false,1,15.6058,Jiggle,0,0.3500,
2.534,2.2226,0.4130,0,0.0,false,1,15.8462,Jiggle,0,0.3500,
2.571,0.0,0.0,-1,1.00,false,1,,Jiggle,0,0.3500,0.270
2.651,2.3376,0.7420,0,0.0,false,1,16.8916,Jiggle,0,0.3500,
2.734,0.0,0.0,-1,1.00,false,1,,Jiggle,0,0.3500,0.433
2.768,2.4881,2.0921,0,0.0,false,1,19.7870,Jiggle,0,0.3500,
2.868,2.6973,2.1270,0,0.0,false,1,20.9300,Jiggle,0,0.3500,
2.968,2.8441,1.1627,0,0.0,true,1,19.8649,Jiggle,0,0.3500,
3.084,3.0166,1.4716,0,0.0,true,1,20.6262,Jiggle,0,0.3500,
3.201,3.1536,1.4233,0,0.0,true,1,20.6322,Jiggle,0,0.3500,
3.318,3.2817,0.8430,0,0.0,true,1,19.8791,Jiggle,0,0.3500,
3.420,3.3984,1.1162,0,0.0,true,1,19.9212,Jiggle,0,0.3500,
3.501,0.0,0.0,1,1.00,false,1,,Jiggle,0,0.3500,0.000
3.534,3.5127,0.3599,0,0.0,false,1,19.0169,Jiggle,0,0.3500,
3.651,3.5738,0.7917,0,0.0,false,1,19.0315,Jiggle,0,0.3500,
3.684,0.0,0.0,1,1.00,false,1,,Jiggle,0,0.3500,0.150
3.768,3.6166,0.7163,0,0.0,false,1,18.7906,Jiggle,0,0.3500,
3.816,0.0,0.0,1,1.00,false,1,,Jiggle,0,0.3500,0.282
3.884,3.6419,0.5685,0,0.0,false,1,18.5791,Jiggle,0,0.3500,
3.951,0.0,0.0,1,1.00,false,1,,Jiggle,0,0.3500,0.416
3.984,3.6297,-0.6042,0,0.0,false,1,18.6568,Jiggle,0,0.3500,
4.101,3.5884,-0.1086,0,0.0,false,1,18.6627,Jiggle,0,0.3500,
4.200,0.0,0.0,1,1.00,false,1,,Jiggle,0,0.3500,0.665
4.201,3.6019,-0.6830,0,0.0,false,1,18.8322,Jiggle,0,0.3500,
4.318,3.6032,0.3175,0,0.0,false,1,18.6435,Jiggle,0,0.3500,
4.434,3.6622,0.3918,0,0.0,false,1,18.3972,Jiggle,0,0.3500,
4.550,0.0,0.0,1,1.00,false,1,,Jiggle,0,0.3500,1.016
4.553,3.6715,-0.7777,0,0.0,false,1,18.5771,Jiggle,0,0.3500,
