timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime
0.117,3.2868,0.1060,0,0.0,true,1,19.5224,Spatial,0,0.3500,
0.217,3.3025,0.2101,0,0.0,true,1,19.5153,Spatial,0,0.3500,
0.318,3.3294,0.3237,0,0.0,true,1,19.4999,Spatial,0,0.3500,
0.433,3.3752,0.4712,0,0.0,true,1,19.4646,Spatial,0,0.3500,
0.538,3.4318,0.6261,0,0.0,true,1,19.4057,Spatial,0,0.3500,
0.634,0.0,0.0,1,1.00,false,1,,Spatial,0,0.3500,0.000
0.650,3.4805,-0.1678,0,0.0,true,1,19.0762,Spatial,0,0.3500,
0.751,3.4736,0.0305,0,0.0,true,1,19.0847,Spatial,0,0.3500,
0.868,3.4904,0.2578,0,0.0,true,1,19.0625,Spatial,0,0.3500,
0.984,3.5342,0.4961,0,0.0,false,1,18.9966,Spatial,0,0.3500,
1.034,0.0,0.0,1,1.00,false,1,,Spatial,0,0.3500,0.050
1.101,3.5240,-0.2398,0,0.0,false,1,18.9401,Spatial,0,0.3500,
1.201,3.5110,-0.0226,0,0.0,false,1,18.9586,Spatial,0,0.3500,
1.303,3.5197,0.1941,0,0.0,false,1,18.9458,Spatial,0,0.3500,
1.418,3.5563,0.4438,0,0.0,false,1,18.8871,Spatial,0,0.3500,
1.451,0.0,0.0,1,1.00,false,1,,Spatial,0,0.3500,0.467
1.521,3.5278,-0.3172,0,0.0,false,1,18.9476,Spatial,0,0.3500,
1.634,0.0,0.0,1,1.00,false,1,,Spatial,0,0.3500,0.650
1.636,3.4870,-1.0615,0,0.0,true,1,19.6038,Spatial,0,0.3500,
1.751,3.3787,-0.8404,0,0.0,true,1,19.6986,Spatial,0,0.3500,
1.869,3.2900,-0.6735,0,0.0,true,1,19.7389,Spatial,0,0.3500,
1.984,3.2194,-0.5586,0,0.0,true,1,19.7464,Spatial,0,0.3500,
2.101,3.1589,-0.4824,0,0.0,true,1,19.7349,Spatial,0,0.3500,
2.218,3.1054,-0.4409,0,0.0,true,1,19.7108,Spatial,0,0.3500,
2.318,3.0620,-0.4298,0,0.0,true,1,19.6813,Spatial,0,0.3500,
2.434,3.0113,-0.4441,0,0.0,true,1,19.6355,Spatial,0,0.3500,
2.535,2.9652,-0.4798,0,0.0,true,1,19.5829,Spatial,0,0.3500,
2.650,2.9061,-0.5495,0,0.0,true,1,19.5002,Spatial,0,0.3500,
2.767,2.8362,-0.6543,0,0.0,true,1,19.3803,Spatial,0,0.3500,
2.800,0.0,0.0,-1,1.00,false,1,,Spatial,0,0.3500,0.000
2.867,2.8480,0.2242,0,0.0,true,1,19.2255,Spatial,0,0.3500,
2.967,2.8648,0.1117,0,0.0,true,1,19.2528,Spatial,0,0.3500,
3.084,2.8706,-0.0108,0,0.0,true,1,19.2621,Spatial,0,0.3500,
