timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime
0.117,2.9997,-0.0414,0,0.0,true,1,19.5223,Progressive,0,0.3500,
0.234,2.9922,-0.0878,0,0.0,true,1,19.5146,Progressive,0,0.3500,
0.350,2.9791,-0.1389,0,0.0,true,1,19.5004,Progressive,0,0.3500,
0.467,2.9595,-0.1981,0,0.0,true,1,19.4774,Progressive,0,0.3500,
0.585,2.9324,-0.2691,0,0.0,true,1,19.4423,Progressive,0,0.3500,
0.685,2.9019,-0.3428,0,0.0,true,1,19.3983,Progressive,0,0.3500,
0.784,0.0,0.0,-1,1.00,false,1,,Progressive,0,0.3500,0.000
0.786,2.8805,0.5646,0,0.0,true,1,19.4469,Progressive,0,0.3500,
0.901,2.9392,0.4570,0,0.0,true,1,19.5241,Progressive,0,0.3500,
1.018,2.9878,0.3808,0,0.0,true,1,19.5767,Progressive,0,0.3500,
1.135,3.0291,0.3320,0,0.0,true,1,19.6131,Progressive,0,0.3500,
1.251,3.0661,0.3066,0,0.0,true,1,19.6391,Progressive,0,0.3500,
1.351,3.0964,0.3018,0,0.0,true,1,19.6555,Progressive,0,0.3500,
1.468,3.1322,0.3153,0,0.0,true,1,19.6693,Progressive,0,0.3500,
1.584,3.1707,0.3497,0,0.0,true,2,19.6770,Progressive,0,0.3500,
1.634,0.0,0.0,1,1.00,false,2,,Progressive,0,0.3500,0.000
1.685,3.1407,-0.6005,0,0.0,true,2,19.8003,Progressive,0,0.3500,
1.785,3.0823,-0.5725,0,0.0,true,2,19.7666,Progressive,0,0.3500,
1.901,3.0157,-0.5765,0,0.0,true,2,19.7085,Progressive,0,0.3500,
2.018,2.9463,-0.6192,0,0.0,true,2,19.6251,Progressive,0,0.3500,
2.121,2.8794,-0.6897,0,0.0,true,2,19.5226,Progressive,0,0.3500,
2.235,2.7943,-0.8077,0,0.0,true,2,19.3605,Progressive,0,0.3500,
2.251,0.0,0.0,-1,1.00,false,2,,Progressive,0,0.3500,0.000
2.351,2.8073,0.0323,0,0.0,true,2,19.0774,Progressive,0,0.3500,
2.451,2.8039,-0.1002,0,0.0,true,2,19.0709,Progressive,0,0.3500,
2.568,2.7830,-0.2579,0,0.0,false,2,19.0294,Progressive,0,0.3500,
2.668,0.0,0.0,-1,1.00,false,2,,Progressive,0,0.3500,0.100
2.670,2.7680,0.5915,0,0.0,false,2,19.1182,Progressive,0,0.3500,
2.785,2.8259,0.4224,0,0.0,true,2,19.2245,Progressive,0,0.3500,
2.901,2.8668,0.2817,0,0.0,true,2,19.2915,Progressive,0,0.3500,
3.018,2.8924,0.1629,0,0.0,true,2,19.3304,Progressive,0,0.3500,
3.118,2.9041,0.0716,0,0.0,true,2,19.3473,Progressive,0,0.3500,
3.235,2.9066,-0.0284,0,0.0,true,2,19.3508,Progressive,0,0.3500,
3.335,2.8995,-0.1135,0,0.0,true,2,19.3404,Progressive,0,0.3500,
3.451,2.8803,-0.2177,0,0.0,true,2,19.3108,Progressive,0,0.3500,
3.468,0.0,0.0,-1,1.00,false,2,,Progressive,0,0.3500,0.000
3.551,2.9536,0.6879,0,0.0,true,2,19.6837,Progressive,0,0.3500,
3.651,3.0192,0.6290,0,0.0,true,2,19.7445,Progressive,0,0.3500,
3.768,3.0905,0.6010,0,0.0,true,2,19.7878,Progressive,0,0.3500,
3.885,3.1610,0.6143,0,0.0,true,2,19.8068,Progressive,0,0.3500,
4.001,3.2354,0.6687,0,0.0,true,2,19.8005,Progressive,0,0.3500,
4.034,0.0,0.0,1,1.00,false,2,,Progressive,0,0.3500,0.000
4.101,3.2233,-0.2503,0,0.0,true,2,19.6186,Progressive,0,0.3500,
4.201,3.2019,-0.1794,0,0.0,true,2,19.6182,Progressive,0,0.3500,
4.301,3.1871,-0.1188,0,0.0,true,2,19.6169,Progressive,0,0.3500,
4.418,3.1769,-0.0568,0,0.0,true,2,19.6155,Progressive,0,0.3500,
4.534,3.1736,-0.0006,0,0.0,true,2,19.6150,Progressive,0,0.3500,
4.635,3.1759,0.0472,0,0.0,true,2,19.6153,Progressive,0,0.3500,
4.750,3.1847,0.1039,0,0.0,true,3,19.6163,Progressive,0,0.3500,
4.851,3.2016,0.2530,0,0.0,true,3,19.6344,Progressive,0,0.3500,
4.968,3.2586,0.7224,0,0.0,true,3,19.8139,Progressive,0,0.3500,
5.084,3.3912,1.5243,0,0.0,true,3,20.4778,Progressive,0,0.3500,
5.100,0.0,0.0,1,1.00,false,3,,Progressive,0,0.3500,0.000
5.184,3.4972,1.4969,0,0.0,false,3,20.1267,Progressive,0,0.3500,
5.300,3.7626,2.9437,0,0.0,false,3,22.1213,Progressive,0,0.3500,
5.401,4.1443,4.4780,0,0.0,false,3,25.1143,Progressive,0,0.3500,
5.501,4.6902,6.2504,0,0.0,false,3,29.5613,Progressive,0,0.3500,
