timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.131,2.9997,-0.0415,0,0.0,true,1,19.5223,Free Play,0,0.3500,,Off,0.0000
0.231,2.9936,-0.0810,0,0.0,true,1,19.5161,Free Play,0,0.3500,,Off,0.0000
0.331,2.9834,-0.1237,0,0.0,true,1,19.5052,Free Play,0,0.3500,,Off,0.0000
0.447,2.9659,-0.1800,0,0.0,true,1,19.4851,Free Play,0,0.3500,,Off,0.0000
0.547,2.9450,-0.2371,0,0.0,true,1,19.4591,Free Play,0,0.3500,,Off,0.0000
0.663,2.9131,-0.3162,0,0.0,true,1,19.4150,Free Play,0,0.3500,,Off,0.0000
0.763,2.8775,-0.3994,0,0.0,true,1,19.3595,Free Play,0,0.3500,,Off,0.0000
0.869,2.8306,-0.5047,0,0.0,true,1,19.2767,Free Play,0,0.3500,,Off,0.0000
0.947,0.0,0.0,-1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
0.980,2.8161,0.3507,0,0.0,true,1,19.1665,Free Play,0,0.3500,,Off,0.0000
1.080,2.8447,0.2235,0,0.0,true,1,19.2159,Free Play,0,0.3500,,Off,0.0000
1.197,2.8630,0.0916,0,0.0,true,1,19.2459,Free Play,0,0.3500,,Off,0.0000
1.297,2.8668,-0.0148,0,0.0,true,1,19.2521,Free Play,0,0.3500,,Off,0.0000
1.414,2.8580,-0.1367,0,0.0,true,1,19.2375,Free Play,0,0.3500,,Off,0.0000
1.532,0.0,0.0,-1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.534,2.8542,0.7286,0,0.0,true,1,19.4831,Free Play,0,0.3500,,Off,0.0000
1.647,2.9297,0.6095,0,0.0,true,2,19.5863,Free Play,0,0.3500,,Off,0.0000
1.747,2.9868,0.5385,0,0.0,true,2,19.6478,Free Play,0,0.3500,,Off,0.0000
1.848,3.0384,0.4954,0,0.0,true,2,19.6905,Free Play,0,0.3500,,Off,0.0000
1.964,3.0947,0.4771,0,0.0,true,2,19.7230,Free Play,0,0.3500,,Off,0.0000
2.064,3.1428,0.4875,0,0.0,true,2,19.7388,Free Play,0,0.3500,,Off,0.0000
