timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime
0.117,3.2911,0.0551,0,0.0,true,1,19.5121,Jiggle,0,0.3500,
0.233,3.2780,-0.2632,0,0.0,true,1,19.5635,Jiggle,0,0.3500,
0.351,3.2137,-0.1466,0,0.0,true,1,19.6053,Jiggle,0,0.3500,
0.467,3.1544,-0.7537,0,0.0,true,1,19.9033,Jiggle,0,0.3500,
0.500,0.0,0.0,1,1.00,false,1,,Jiggle,0,0.3500,0.000
0.567,2.9740,-1.8961,0,0.0,true,1,21.2801,Jiggle,0,0.3500,
0.668,2.7961,-1.9309,0,0.0,true,1,20.9047,Jiggle,0,0.3500,
0.784,2.5349,-2.8561,0,0.0,false,1,21.9482,Jiggle,0,0.3500,
0.901,2.1688,-3.7786,0,0.0,false,1,22.4717,Jiggle,0,0.3500,
0.967,0.0,0.0,-1,1.00,false,1,,Jiggle,0,0.3500,0.183
1.018,1.7721,-3.1947,0,0.0,false,1,16.8747,Jiggle,0,0.3500,
