timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.084,2.8772,-0.4232,0,0.0,true,2,19.3687,Free Play,0,0.3500,,Tutorial,1.0000
0.200,2.8877,0.4624,0,0.0,true,2,19.4125,Free Play,0,0.3500,,Tutorial,-1.0000
0.300,2.8792,0.3661,0,0.0,true,2,19.3512,Free Play,0,0.3500,,Tutorial,-1.0000
0.417,2.8702,-0.4898,0,0.0,true,2,19.3808,Free Play,0,0.3500,,Tutorial,1.0000
0.518,2.8647,-0.5911,0,0.0,true,2,19.4211,Free Play,0,0.3500,,Tutorial,1.0000
0.635,2.8594,0.3451,0,0.0,true,2,19.2915,Free Play,0,0.3500,,Tutorial,-0.6946
0.751,2.8610,-0.4745,0,0.0,true,2,19.3489,Free Play,0,0.3500,,Tutorial,1.0000
0.868,2.8651,0.4010,0,0.0,true,2,19.3278,Free Play,0,0.3500,,Tutorial,-1.0000
0.985,2.8593,-0.3073,0,0.0,true,2,19.2790,Free Play,0,0.3500,,Tutorial,1.0000
1.085,2.8732,-0.4124,0,0.0,true,2,19.3537,Free Play,0,0.3500,,Tutorial,1.0000
1.201,2.8850,0.4710,0,0.0,true,2,19.4098,Free Play,0,0.3500,,Tutorial,-1.0000
1.301,2.8767,0.3731,0,0.0,true,2,19.3474,Free Play,0,0.3500,,Tutorial,-1.0000
1.418,2.8572,-0.6128,0,0.0,true,2,19.4138,Free Play,0,0.3500,,Tutorial,1.0000
1.534,2.8712,0.6613,0,0.0,true,3,19.4822,Free Play,0,0.3500,,Tutorial,-1.0000
1.635,2.8819,0.5570,0,0.0,true,3,19.4462,Free Play,0,0.3500,,Tutorial,-1.0000
1.751,2.8731,-0.5563,0,0.0,true,3,19.4233,Free Play,0,0.3500,,Tutorial,1.0000
1.868,2.8681,0.3258,0,0.0,true,3,19.3085,Free Play,0,0.3500,,Tutorial,-0.6339
1.968,2.8814,0.5868,0,0.0,true,3,19.4619,Free Play,0,0.3500,,Tutorial,-1.0000
2.085,2.8758,-0.5267,0,0.0,true,3,19.4141,Free Play,0,0.3500,,Tutorial,1.0000
