timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.035,2.8890,0.3576,0,0.0,true,2,19.3728,Free Play,0,0.3500,,Tutorial,-1.0000
0.150,2.8690,-0.6381,0,0.0,true,2,19.4615,Free Play,0,0.3500,,Tutorial,1.0000
0.250,2.8580,-0.6169,0,0.0,true,2,19.4183,Free Play,0,0.3500,,Tutorial,1.0000
0.351,2.8620,-0.3100,0,0.0,true,2,19.2871,Free Play,0,0.3500,,Tutorial,1.0000
0.451,2.8731,-0.4143,0,0.0,true,2,19.3544,Free Play,0,0.3500,,Tutorial,1.0000
0.567,2.8647,-0.5277,0,0.0,true,2,19.3857,Free Play,0,0.3500,,Tutorial,1.0000
0.667,2.8567,-0.6311,0,0.0,true,2,19.4236,Free Play,0,0.3500,,Tutorial,1.0000
0.783,2.8527,0.3465,0,0.0,true,2,19.2736,Free Play,0,0.3500,,Tutorial,-0.7236
0.883,2.8595,0.5104,0,0.0,true,2,19.3624,Free Play,0,0.3500,,Tutorial,-1.0000
1.000,2.8450,-0.6160,0,0.0,true,2,19.3815,Free Play,0,0.3500,,Tutorial,1.0000
1.117,2.8463,0.5316,0,0.0,true,2,19.3366,Free Play,0,0.3500,,Tutorial,-1.0000
1.233,2.8339,-0.6020,0,0.0,true,2,19.3403,Free Play,0,0.3500,,Tutorial,1.0000
1.334,2.8291,-0.2065,0,0.0,true,2,19.1662,Free Play,0,0.3500,,Tutorial,1.0000
1.451,2.8635,0.6540,0,0.0,true,2,19.4569,Free Play,0,0.3500,,Tutorial,-1.0000
1.567,2.8655,-0.4681,0,0.0,true,3,19.3579,Free Play,0,0.3500,,Tutorial,1.0000
1.683,2.8703,-0.5854,0,0.0,true,3,19.4325,Free Play,0,0.3500,,Tutorial,1.0000
1.783,2.8617,-0.3857,0,0.0,true,3,19.3126,Free Play,0,0.3500,,Tutorial,1.0000
1.900,2.8761,0.4915,0,0.0,true,3,19.3970,Free Play,0,0.3500,,Tutorial,-1.0000
2.018,2.8593,-0.6267,0,0.0,true,3,19.4282,Free Play,0,0.3500,,Tutorial,1.0000
2.134,2.8728,0.6483,0,0.0,true,3,19.4778,Free Play,0,0.3500,,Tutorial,-1.0000
2.234,2.8819,0.5455,0,0.0,true,3,19.4398,Free Play,0,0.3500,,Tutorial,-1.0000
2.351,2.8730,-0.5678,0,0.0,true,3,19.4294,Free Play,0,0.3500,,Tutorial,1.0000
2.451,2.8613,-0.6626,0,0.0,true,3,19.4567,Free Play,0,0.3500,,Tutorial,1.0000
