timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime
0.114,3.2754,-0.2401,0,0.0,true,1,19.5612,Jiggle,0,0.3500,
0.231,3.2618,-0.0215,0,0.0,true,1,19.5494,Jiggle,0,0.3500,
0.331,3.2369,-0.2074,0,0.0,true,1,19.5970,Jiggle,0,0.3500,
0.448,3.2151,-0.0294,0,0.0,true,1,19.5939,Jiggle,0,0.3500,
0.564,3.2126,0.0367,0,0.0,true,1,19.5959,Jiggle,0,0.3500,
0.667,3.1894,-0.3602,0,0.0,true,1,19.6737,Jiggle,0,0.3500,
0.697,0.0,0.0,1,1.00,false,1,,Jiggle,0,0.3500,0.000
0.780,3.0241,-1.7040,0,0.0,true,1,21.0042,Jiggle,0,0.3500,
0.880,2.8211,-2.0052,0,0.0,true,1,21.1310,Jiggle,0,0.3500,
0.981,2.6090,-2.1849,0,0.0,false,1,20.6482,Jiggle,0,0.3500,
1.098,2.3293,-2.4788,0,0.0,false,1,19.6300,Jiggle,0,0.3500,
1.199,2.0870,-2.6057,0,0.0,false,1,18.0469,Jiggle,0,0.3500,
1.214,0.0,0.0,-1,1.00,false,1,,Jiggle,0,0.3500,0.233
1.315,1.8262,-2.3124,0,0.0,false,1,14.9618,Jiggle,0,0.3500,
1.364,0.0,0.0,-1,1.00,false,1,,Jiggle,0,0.3500,0.383
1.418,1.6238,-2.0751,0,0.0,false,1,12.4826,Jiggle,0,0.3500,
