timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.131,2.9998,-0.0409,0,0.0,true,1,19.5224,Free Play,0,0.3500,,Off,0.0000
0.248,2.9923,-0.0872,0,0.0,true,1,19.5147,Free Play,0,0.3500,,Off,0.0000
0.364,2.9792,-0.1383,0,0.0,true,1,19.5006,Free Play,0,0.3500,,Off,0.0000
0.465,2.9628,-0.1887,0,0.0,true,1,19.4815,Free Play,0,0.3500,,Off,0.0000
0.598,2.9327,-0.2684,0,0.0,true,1,19.4427,Free Play,0,0.3500,,Off,0.0000
0.714,2.8965,-0.3554,0,0.0,true,1,19.3900,Free Play,0,0.3500,,Off,0.0000
0.822,2.8541,-0.4523,0,0.0,true,1,19.3196,Free Play,0,0.3500,,Off,0.0000
0.898,0.0,0.0,-1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
0.931,2.8477,0.4175,0,0.0,true,1,19.2864,Free Play,0,0.3500,,Off,0.0000
1.047,2.8884,0.2898,0,0.0,true,1,19.3492,Free Play,0,0.3500,,Off,0.0000
1.148,2.9128,0.1966,0,0.0,true,1,19.3836,Free Play,0,0.3500,,Off,0.0000
1.248,2.9283,0.1154,0,0.0,true,1,19.4043,Free Play,0,0.3500,,Off,0.0000
1.364,2.9367,0.0297,0,0.0,true,1,19.4152,Free Play,0,0.3500,,Off,0.0000
1.465,2.9361,-0.0405,0,0.0,true,1,19.4145,Free Play,0,0.3500,,Off,0.0000
1.565,2.9286,-0.1114,0,0.0,true,2,19.4044,Free Play,0,0.3500,,Off,0.0000
1.681,2.9105,-0.1992,0,0.0,true,2,19.3791,Free Play,0,0.3500,,Off,0.0000
1.781,2.8865,-0.2832,0,0.0,true,2,19.3426,Free Play,0,0.3500,,Off,0.0000
1.881,0.0,0.0,-1,1.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
1.884,2.8720,0.6148,0,0.0,true,2,19.4547,Free Play,0,0.3500,,Off,0.0000
1.998,2.9352,0.5045,0,0.0,true,2,19.5390,Free Play,0,0.3500,,Off,0.0000
2.115,2.9893,0.4265,0,0.0,true,2,19.5973,Free Play,0,0.3500,,Off,0.0000
2.231,3.0359,0.3790,0,0.0,true,2,19.6371,Free Play,0,0.3500,,Off,0.0000
2.348,3.0787,0.3581,0,0.0,true,2,19.6647,Free Play,0,0.3500,,Off,0.0000
2.448,3.1144,0.3598,0,0.0,true,2,19.6811,Free Play,0,0.3500,,Off,0.0000
2.548,3.1513,0.3794,0,0.0,true,2,19.6915,Free Play,0,0.3500,,Off,0.0000
2.665,3.1981,0.4259,0,0.0,true,2,19.6950,Free Play,0,0.3500,,Off,0.0000
2.781,3.2516,0.4997,0,0.0,true,2,19.6855,Free Play,0,0.3500,,Off,0.0000
2.898,3.3158,0.6056,0,0.0,true,2,19.6550,Free Play,0,0.3500,,Off,0.0000
3.014,3.3939,0.7484,0,0.0,true,2,19.5895,Free Play,0,0.3500,,Off,0.0000
3.115,3.4771,0.9089,0,0.0,true,3,19.4861,Free Play,0,0.3500,,Off,0.0000
