timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime
0.005,3.2812,0.0025,0,0.0,true,1,29.4884,Random,0,0.3500,
0.117,3.2888,0.1331,0,0.0,true,1,29.4837,Random,0,0.3500,
0.233,3.3126,0.2789,0,0.0,true,1,29.4659,Random,0,0.3500,
0.350,3.3547,0.4478,0,0.0,true,1,29.4250,Random,0,0.3500,
0.451,3.4084,0.6229,0,0.0,true,1,29.3555,Random,0,0.3500,
0.534,0.0,0.0,1,1.00,false,1,,Random,0,0.3500,0.000
0.567,3.4445,-0.1298,0,0.0,true,1,28.9686,Random,0,0.3500,
0.671,3.4429,0.0977,0,0.0,true,1,28.9712,Random,0,0.3500,
0.751,0.0,0.0,1,1.00,false,1,,Random,0,0.3500,0.000
0.784,3.4184,-0.6513,0,0.0,true,1,29.3387,Random,0,0.3500,
0.884,3.3631,-0.4602,0,0.0,true,1,29.4054,Random,0,0.3500,
0.984,3.3252,-0.3004,0,0.0,true,1,29.4410,Random,0,0.3500,
1.101,3.2998,-0.1408,0,0.0,true,1,29.4603,Random,0,0.3500,
1.201,3.2920,-0.0154,0,0.0,true,1,29.4655,Random,0,0.3500,
1.318,3.2985,0.1282,0,0.0,true,1,29.4610,Random,0,0.3500,
1.421,3.3186,0.2626,0,0.0,true,1,29.4451,Random,0,0.3500,
1.534,0.0,0.0,1,1.00,false,1,,Random,0,0.3500,0.000
1.536,3.3400,-0.5660,0,0.0,true,1,29.5459,Random,0,0.3500,
1.651,3.2845,-0.4052,0,0.0,true,1,29.5860,Random,0,0.3500,
1.768,3.2448,-0.2796,0,0.0,true,1,29.6035,Random,0,0.3500,
1.883,3.2184,-0.1816,0,0.0,true,1,29.6100,Random,0,0.3500,
2.000,3.2021,-0.1001,0,0.0,true,1,29.6119,Random,0,0.3500,
2.100,3.1944,-0.0581,0,0.0,true,2,17.8696,Random,0,0.3500,
2.217,3.1899,-0.0181,0,0.0,true,2,17.8704,Random,0,0.3500,
2.317,3.1898,0.0144,0,0.0,true,2,17.8704,Random,0,0.3500,
2.418,3.1929,0.0472,0,0.0,true,2,17.8698,Random,0,0.3500,
2.518,3.1993,0.0815,0,0.0,true,2,17.8685,Random,0,0.3500,
2.634,3.2113,0.1258,0,0.0,true,2,17.8655,Random,0,0.3500,
2.751,3.2289,0.1774,0,0.0,true,2,17.8596,Random,0,0.3500,
2.784,0.0,0.0,1,1.00,false,2,,Random,0,0.3500,0.000
2.851,3.1662,-0.7708,0,0.0,true,2,18.1231,Random,0,0.3500,
2.951,3.0901,-0.7539,0,0.0,true,2,18.1033,Random,0,0.3500,
3.051,3.0137,-0.7744,0,0.0,true,2,18.0551,Random,0,0.3500,
3.067,0.0,0.0,1,1.00,false,2,,Random,0,0.3500,0.000
3.168,2.8042,-1.8547,0,0.0,true,2,18.7959,Random,0,0.3500,
3.268,2.6112,-2.0148,0,0.0,false,2,18.3273,Random,0,0.3500,
3.370,2.3928,-2.2632,0,0.0,false,2,17.6028,Random,0,0.3500,
3.451,0.0,0.0,-1,1.00,false,2,,Random,0,0.3500,0.183
3.484,2.1641,-1.6394,0,0.0,false,2,15.0480,Random,0,0.3500,
3.601,1.9471,-2.0934,0,0.0,false,2,14.0337,Random,0,0.3500,
3.617,0.0,0.0,-1,1.00,false,2,,Random,0,0.3500,0.350
3.718,1.7900,-1.6019,0,0.0,false,2,11.9427,Random,0,0.3500,
3.784,0.0,0.0,-1,1.00,false,2,,Random,0,0.3500,0.516
3.818,1.6572,-1.0565,0,0.0,false,2,10.1722,Random,0,0.3500,
